compartment,wound_healing,vascular_repair,immunity_recruitment,inflammation_resolution,fibrosis_matrix,neuroimmune,pain_sensory,neuropeptides,neurogenic_inflammation
Keratinocyte,0.03852102371151544,-0.014126675805539633,-0.017779302967465136,-0.006023707209220469,-0.019195452758032232,-0.005917034277269263,-0.002544606905775983,-0.000733266035110174,-0.017295779008852683
Fibroblast,0.01974023756448779,-0.0023035097665580345,-0.0011966985917145798,-0.004886708496638911,0.19057104703341754,0.004586541957269271,-0.0006067673235710189,-0.0006051383099383446,-0.009920609273946317
Endothelial,0.03077560812855736,0.030486604404988838,-0.006423948651873494,-0.005151795753251051,0.07060327983341673,-0.0013074835368155323,-0.002155022018244085,2.7688730167599546e-05,-0.010836240403105317
Immune,0.005747079585509219,-0.01093675347030733,0.02869291782001308,0.020175378329510225,0.017542981558100662,-0.001520187345989044,-0.000403723110487912,-0.0006206771044063895,-0.0008159584820033765
Muscle,0.015335193026448006,-0.008324527413612936,-0.013413231389121809,-0.0014967922377340556,-0.0005689131253839317,-0.006280673423522273,-0.0008972453336581987,-0.0009248106854716469,-0.009284996752518242
Adipocyte,-0.007470070642730389,-0.010902204572474308,-0.017831108701249963,-0.011748859693962055,-0.011128426203790889,-0.0058538671528251185,-0.003916801533192259,-0.0010644061583971929,-0.01657236977059241
Mixed,0.019287053918237537,0.0003032439781266681,0.004808047850344345,0.0052862607514394455,0.0015373912002796212,-0.0044184530165511555,-0.0012580792254769481,-0.001144462034117297,-0.0036446328318605497
Other,0.013379384879083172,-0.011562919224567248,0.011993543519271458,0.004339632246190734,-0.009074727109360116,-0.0019904610244186865,-0.0010429622303502238,-0.0008813289248684965,-0.006664803727961517
