CellCharter_12,Activated Dermal Fibroblast (Col1a2 ER-stress),Activated Dermal Fibroblast (TNC PRRX1),Activated Endothelial Cell,Activated Monocyte (CD11b+),Acute Graft-Response Macrophage,Arg1+ Macrophage,Basal Epithelial Cell (Trp63+),Basal Keratinocyte (Epcam+ Cd44-high),Basal Keratinocyte (HF-stem stress),Basal Keratinocyte (Klf5+ Gata3+),Basal Keratinocyte (LGR5+ SOX9+),Basal Keratinocyte (hemidesmosome collapse),Basal Keratinocyte (proliferative progenitor),Basal Keratinocyte (proliferative wound),Basal Keratinocyte (senescent ER-stress),Capillary Endothelial Cell,DAMP-Responsive Macrophage,Dermal Adipocyte (biosynthesis),Dermal Fibroblast (Col1a2 inflammatory),Dermal Fibroblast (MMP chemokine),Dermal Fibroblast (Neat1 stress),Dermal Fibroblast (Pdgfra complement),Dermal Fibroblast (complement graft),Dermal Fibroblast (complement interferon),Dermal Fibroblast (complement signaling),Dermal Fibroblast (interferon macrophage),Dermal Fibroblast (perivascular LPL),Differentiated Keratinocyte,Endothelial Cell (angiogenic pericyte),Endothelial Cell (early EndMT),Endothelial Cell (partial EndMT),Endothelial Cell (smooth muscle EndMT),"Epidermal Keratinocyte (DSG1+, E-cad+)",Epidermal Keratinocyte (stress-responsive),Epithelial Progenitor Cell (Lgr5+ Sox9+),Fibroblast (Lmna perivascular),Fibroblast (activated inflammatory),Fibroblast (fetal PDGFRA),Hair Follicle Keratinocyte (stem cell),Heterogeneous Epithelial-Neural Cluster,IFNγ-Conditioned Macrophage,IL33+ Inflammatory Fibroblast,Immunoregulatory Myeloid Cell (CXCL12-high),Inflammatory Macrophage (Fcgr1+ primed),Inflammatory Macrophage (GRN+ chemokine),Interferon-Activated Macrophage,Interferon-Responsive Regulatory Macrophage,"Keratinocyte (E-cad+, suprabasal)","Keratinocyte (Trp63+, basal)",Lipid-Associated Macrophage,M2-like Macrophage,Macrophage (Arg1+ glycolytic),Macrophage (CD68+ phagocytic),Macrophage (IFN+ M1/M2),Macrophage (TREM2+ resident),Monocytic MDSC (Ccr2+),Myeloid-Endothelial Doublet,Outer Root Sheath Keratinocyte (Sox9+ Trp63+),Phagocytic Macrophage,Proliferating Keratinocyte,Regenerating Skeletal Muscle Cell (PAX7+),Skeletal Muscle Cell (myoblast/myotube),Skeletal Muscle Fiber (IIB/IIX),Stress-Activated Basal Keratinocyte (proteotoxic),Stress-Adapted Dermal White Adipocyte (lipolysis),Stress-Responsive Epithelial Cell (TP63- KRT71+),Stressed Skeletal Muscle Fiber (glycolytic),Stromal Fibroblast,Tissue Macrophage (F13a1+ efferocytic),Tissue-Resident Macrophage (Grn+ CD163+),Wound-Associated Macrophage
0,0.058046055320888405,0.018803651723668074,0.027796702548031068,0.002180133533178907,0.00395149202888677,0.0034064586455920427,0.002588908570649952,0.0,0.007494209020302493,0.0001362583458236817,0.0035427169914157243,0.006949175637007767,0.010764409320070854,0.0001362583458236817,0.0,0.20520506881046463,0.00395149202888677,0.0,0.015942226461370758,0.004632783758005177,0.024253985556615343,0.023572693827496934,0.029159286006267885,0.018803651723668074,0.01130944270336558,0.010764409320070854,0.008448017441068266,0.0,0.010083117590952446,0.10927919335059272,0.01280828450742608,0.0068129172911840855,0.0,0.005450333832947268,0.0010900667665894536,0.025207793977381116,0.03706227006404142,0.010083117590952446,0.004360267066357814,0.00953808420765772,0.0096743425534814,0.016623518190489166,0.0059953672162419945,0.015942226461370758,0.00790298405777354,0.004224008720534133,0.00395149202888677,0.002180133533178907,0.0032702002997683608,0.0024526502248262707,0.00803924240359722,0.00558659217877095,0.008856792478539311,0.014579643003133943,0.05382204660035427,0.008720534132715629,0.004632783758005177,0.003678975337239406,0.011036926011718217,0.0009538084207657719,0.0019076168415315439,0.0002725166916473634,0.0001362583458236817,0.0023163918790025887,0.0096743425534814,0.006131625562065677,0.008311759095244583,0.010900667665894537,0.003678975337239406,0.020302493527728574,0.010628150974247172
1,0.0005843681519357195,0.005697589481373265,0.008181154127100073,0.0016070124178232286,0.001314828341855369,0.014901387874360848,0.05843681519357195,0.004674945215485756,0.03360116873630387,0.045288531775018265,0.06676406135865595,0.017677136596055514,0.02498173849525201,0.03973703433162892,0.0018991964937910884,0.002629656683710738,0.008327246165084004,0.2245434623813002,0.005989773557341125,0.0005843681519357195,0.00993425858290723,0.006428049671292914,0.007158509861212564,0.0004382761139517896,0.0014609203798392988,0.0020452885317750183,0.001314828341855369,0.0004382761139517896,0.004236669101533966,0.004382761139517896,0.0029218407596785976,0.007742878013148284,0.00029218407596785974,0.02337472607742878,0.016362308254200146,0.0127100073046019,0.003214024835646457,0.0010226442658875091,0.03783783783783784,0.016362308254200146,0.0029218407596785976,0.001314828341855369,0.003506208911614317,0.014317019722425129,0.0018991964937910884,0.005843681519357195,0.0,0.006135865595325055,0.06340394448502557,0.002629656683710738,0.0005843681519357195,0.029656683710737763,0.0027757487216946678,0.0008765522279035792,0.0017531044558071584,0.01154127100073046,0.004674945215485756,0.013732651570489408,0.00014609203798392987,0.030387143900657415,0.0,0.00014609203798392987,0.0,0.04718772826880935,0.0,0.013148283418553688,0.007158509861212564,0.0024835646457268077,0.001168736303871439,0.0029218407596785976,0.0005843681519357195
10,0.022492401215805473,0.004863221884498481,0.01033434650455927,0.0006079027355623101,0.0004052684903748733,0.008308004052684904,0.019858156028368795,0.0010131712259371835,0.02998986828774063,0.023910840932117528,0.031205673758865248,0.012968591691995946,0.020871327254305978,0.0022289766970618034,0.0,0.00303951367781155,0.004660587639311043,0.0,0.021681864235055723,0.0032421479229989866,0.01398176291793313,0.02127659574468085,0.018439716312056736,0.0028368794326241137,0.006484295845997973,0.0034447821681864235,0.006484295845997973,0.00182370820668693,0.0034447821681864235,0.05369807497467072,0.00547112462006079,0.005876393110435664,0.0004052684903748733,0.010131712259371834,0.018439716312056736,0.055116514690982776,0.012563323201621074,0.007700101317122594,0.012563323201621074,0.00364741641337386,0.0012158054711246201,0.00303951367781155,0.0032421479229989866,0.0070921985815602835,0.0028368794326241137,0.0026342451874366768,0.00020263424518743666,0.005876393110435664,0.018642350557244173,0.00182370820668693,0.0,0.01398176291793313,0.0028368794326241137,0.0008105369807497467,0.005876393110435664,0.01762917933130699,0.0052684903748733535,0.01033434650455927,0.0004052684903748733,0.33617021276595743,0.0006079027355623101,0.0,0.0,0.021681864235055723,0.0006079027355623101,0.020263424518743668,0.009726443768996961,0.013171225937183385,0.0008105369807497467,0.007497467071935157,0.00020263424518743666
11,0.0,0.00042158516020236085,0.007166947723440135,0.0008431703204047217,0.00042158516020236085,0.012015177065767284,0.011172006745362563,0.03625632377740304,0.01032883642495784,0.0096964586846543,0.00442664418212479,0.00463743676222597,0.0065345699831365935,0.015598650927487353,0.1498735244519393,0.00042158516020236085,0.007166947723440135,0.00021079258010118043,0.0,0.00021079258010118043,0.00042158516020236085,0.0,0.00021079258010118043,0.0,0.00021079258010118043,0.0,0.00021079258010118043,0.3393760539629005,0.0018971332209106238,0.0,0.0,0.0008431703204047217,0.24388701517706576,0.004005059021922428,0.03204047217537943,0.0,0.00021079258010118043,0.0,0.0035834738617200675,0.01412310286677909,0.0031618887015177066,0.00042158516020236085,0.0012647554806070826,0.002529510961214165,0.0006323777403035413,0.001475548060708263,0.0018971332209106238,0.008010118043844857,0.02002529510961214,0.0,0.0006323777403035413,0.0065345699831365935,0.0008431703204047217,0.0010539629005059021,0.00042158516020236085,0.01011804384485666,0.0021079258010118043,0.002318718381112985,0.00021079258010118043,0.00042158516020236085,0.0,0.00021079258010118043,0.0,0.001475548060708263,0.0,0.002951096121416526,0.011172006745362563,0.00042158516020236085,0.00021079258010118043,0.00021079258010118043,0.0008431703204047217
2,0.20617158358765683,0.0054255679891488644,0.011359782977280434,0.002034587995930824,0.016446252967107493,0.003730077992539844,0.0027127839945744322,0.0,0.003051881993896236,0.0,0.002204136995591726,0.001525940996948118,0.004408273991183452,0.0,0.0,0.0006781959986436081,0.007460155985079688,0.0,0.013224821973550356,0.004916920990166158,0.02695829094608342,0.018480840963038318,0.020176330959647337,0.007799253984401492,0.010512037978975925,0.007290606985418786,0.008138351983723296,0.0,0.002882332994235334,0.007799253984401492,0.00254323499491353,0.00084774499830451,0.0,0.00508646998982706,0.0006781959986436081,0.024075957951848085,0.029331976941336046,0.013903017972193964,0.0006781959986436081,0.001865038996269922,0.009664292980671414,0.028653780942692438,0.006612410986775178,0.01186842997626314,0.026788741946422515,0.009155645981688708,0.02288911495422177,0.00254323499491353,0.00084774499830451,0.00339097999321804,0.04170905391658189,0.003560528992878942,0.022550016954899967,0.03797897592404205,0.1527636486944727,0.01017293997965412,0.002034587995930824,0.002373685995252628,0.04916920990166158,0.00016954899966090201,0.003730077992539844,0.00033909799932180403,0.000508646998982706,0.000508646998982706,0.0,0.0054255679891488644,0.008138351983723296,0.004069175991861648,0.009155645981688708,0.02373685995252628,0.025093251949813496
3,0.0,0.0,0.03615196078431373,0.007965686274509803,0.029105392156862746,0.01991421568627451,0.00030637254901960784,0.0,0.003676470588235294,0.0,0.002144607843137255,0.005821078431372549,0.0030637254901960784,0.0,0.0,0.0,0.008272058823529412,0.0,0.001838235294117647,0.0,0.0006127450980392157,0.0,0.0012254901960784314,0.0,0.0,0.00030637254901960784,0.0,0.0,0.0024509803921568627,0.0,0.0030637254901960784,0.0009191176470588235,0.0,0.01011029411764706,0.001838235294117647,0.00030637254901960784,0.00030637254901960784,0.00030637254901960784,0.002144607843137255,0.0055147058823529415,0.030637254901960783,0.0,0.09681372549019608,0.053002450980392156,0.0897671568627451,0.024816176470588234,0.18872549019607843,0.0,0.0012254901960784314,0.011642156862745098,0.11274509803921569,0.04534313725490196,0.049019607843137254,0.037377450980392156,0.0006127450980392157,0.01991421568627451,0.005208333333333333,0.007659313725490196,0.0012254901960784314,0.0,0.0,0.0,0.0,0.0006127450980392157,0.0,0.00857843137254902,0.012867647058823529,0.0,0.0033700980392156864,0.0,0.051470588235294115
4,0.005622489959839358,0.007764390896921017,0.04364123159303882,0.005622489959839358,0.030522088353413655,0.02356091030789826,0.004016064257028112,0.0008032128514056225,0.008835341365461847,0.00107095046854083,0.006157965194109772,0.00856760374832664,0.00856760374832664,0.0024096385542168677,0.0069611780455153946,0.031057563587684068,0.014190093708165997,0.000535475234270415,0.00428380187416332,0.0018741633199464524,0.008835341365461847,0.00214190093708166,0.00214190093708166,0.0013386880856760374,0.002677376171352075,0.0029451137884872825,0.0008032128514056225,0.0018741633199464524,0.007764390896921017,0.004819277108433735,0.00856760374832664,0.002677376171352075,0.0024096385542168677,0.012048192771084338,0.00214190093708166,0.00321285140562249,0.00535475234270415,0.0024096385542168677,0.004551539491298527,0.008032128514056224,0.026238286479250333,0.0107095046854083,0.0500669344042838,0.03400267737617135,0.0428380187416332,0.015261044176706828,0.18527443105756358,0.003748326639892905,0.0050870147255689425,0.013654618473895583,0.047925033467202144,0.02570281124497992,0.03480589022757698,0.03855421686746988,0.01285140562248996,0.033734939759036145,0.00642570281124498,0.00428380187416332,0.006157965194109772,0.0013386880856760374,0.00321285140562249,0.00535475234270415,0.010174029451137885,0.00107095046854083,0.0013386880856760374,0.008299866131191432,0.027041499330655958,0.0013386880856760374,0.00749665327978581,0.0029451137884872825,0.030254350736278447
5,0.00011926058437686345,0.0002385211687537269,0.006201550387596899,0.0008348240906380441,0.0007155635062611807,0.006201550387596899,0.022301729278473466,0.14036970781156827,0.02456768038163387,0.06535480023852117,0.015146094215861657,0.009183064997018485,0.019200954084675016,0.2796660703637448,0.089087656529517,0.00011926058437686345,0.004412641621943948,0.001073345259391771,0.0,0.0,0.001073345259391771,0.0004770423375074538,0.0004770423375074538,0.0,0.00011926058437686345,0.0,0.00011926058437686345,0.0234943351222421,0.0014311270125223613,0.00035778175313059033,0.0002385211687537269,0.002385211687537269,0.16100178890876565,0.006320810971973762,0.008109719737626715,0.0009540846750149076,0.00035778175313059033,0.00035778175313059033,0.01311866428145498,0.01073345259391771,0.0020274299344066786,0.00011926058437686345,0.00011926058437686345,0.003935599284436494,0.0002385211687537269,0.0017889087656529517,0.0,0.007751937984496124,0.021586165772212285,0.0,0.0,0.0029815146094215863,0.0013118664281454979,0.00035778175313059033,0.0,0.008228980322003579,0.002146690518783542,0.0031007751937984496,0.0,0.007632677400119261,0.0002385211687537269,0.0,0.0,0.008825283243887896,0.0,0.004651162790697674,0.006201550387596899,0.0,0.0002385211687537269,0.00011926058437686345,0.0004770423375074538
6,0.03225806451612903,0.13118279569892474,0.026711941143180533,0.002490096208262592,0.004980192416525184,0.0040747028862478775,0.003621958121109225,0.0,0.009054895302773062,0.00033955857385398983,0.004527447651386531,0.007696661007357102,0.011318619128466326,0.0006791171477079797,0.0004527447651386531,0.0730050933786078,0.0055461233729485,0.00022637238256932655,0.044482173174872665,0.014035087719298246,0.043689869835880024,0.07470288624787776,0.03508771929824561,0.011318619128466326,0.01211092246745897,0.00588568194680249,0.01245048104131296,0.0,0.006791171477079796,0.047651386530843234,0.008375778155065083,0.004640633842671194,0.0,0.004640633842671194,0.0019241652518392756,0.03791737408036219,0.034861346915676286,0.016185625353706847,0.0050933786078098476,0.0053197509903791735,0.009507640067911714,0.009281267685342388,0.008715336728919072,0.010865874363327675,0.0050933786078098476,0.003395585738539898,0.002490096208262592,0.0015846066779852859,0.004187889077532541,0.0032823995472552347,0.004301075268817204,0.00724391624221845,0.012337294850028296,0.013242784380305603,0.02501414827391058,0.011205432937181663,0.004414261460101867,0.0050933786078098476,0.018788907753254102,0.0020373514431239388,0.0015846066779852859,0.0,0.0,0.0032823995472552347,0.002490096208262592,0.009620826259196379,0.008602150537634409,0.021958121109224675,0.003621958121109225,0.030333899264289758,0.011092246745897
7,0.0,0.0,0.003850473287341569,0.0009626183218353923,0.0016043638697256538,0.019733675597625542,0.05807797208406867,0.01107011070110701,0.03561687790790952,0.17984918979624578,0.033210332103321034,0.0291994224290069,0.025028076367720198,0.016845820632119365,0.0,0.0,0.02262153056313172,0.0,0.0,0.0,0.0016043638697256538,0.00048130916091769613,0.00048130916091769613,0.0,0.00048130916091769613,0.00032087277394513073,0.0,0.15979464142467512,0.00208567303064335,0.0,0.0008021819348628269,0.0028878549655061768,0.01636451147120167,0.024546767206802503,0.02599069468955559,0.0009626183218353923,0.0,0.0,0.03433338681212899,0.01845018450184502,0.0009626183218353923,0.0,0.001283491095780523,0.007380073800738007,0.001283491095780523,0.001283491095780523,0.0,0.02181934862826889,0.07716990213380395,0.0019252366436707845,0.00032087277394513073,0.021658912241296326,0.004010909674314134,0.0006417455478902615,0.0,0.021017166693406066,0.00657789186587518,0.01780843895395476,0.0,0.019573239210652977,0.0,0.00032087277394513073,0.0,0.03625862345579978,0.0,0.020054548371570672,0.008984437670463662,0.00032087277394513073,0.001283491095780523,0.00016043638697256537,0.0006417455478902615
