cell_id,x,y,sample_id,condition,genotype,cell_type,niche_k12,niche_k8,niche_k10
output-XETG00045__0059976__litt_24h__20250725__091031_aabclddl-1,378.0248718261719,3838.736328125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aabcooeb-1,163.0609588623047,3889.80224609375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aabhbejf-1,143.76283264160156,3920.232177734375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aabjhpgm-1,154.14840698242188,3921.030517578125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Macrophage (IFN+ M1/M2),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aabjnmod-1,171.45547485351562,3939.0615234375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aabnbccg-1,184.73843383789065,3996.156005859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aabnekpk-1,180.89407348632807,3936.053466796875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Macrophage (CD68+ phagocytic),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aacaaaaa-1,155.90628051757812,3962.05810546875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aacenbkj-1,73.3655776977539,3952.412841796875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aacmlokm-1,164.7346954345703,3935.901123046875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Wound-Associated Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aacnjnhn-1,157.65399169921875,3935.2294921875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aacpgjoa-1,431.0115966796875,3880.568359375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Arg1+ Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aadbfblk-1,461.91644287109375,3913.78271484375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,2,3,5
output-XETG00045__0059976__litt_24h__20250725__091031_aadboecn-1,421.5499877929688,3890.761474609375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaddemaj-1,422.7641296386719,3881.19091796875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aadjeocp-1,438.4140319824219,3977.260498046875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aadjoink-1,449.45941162109375,4041.536865234375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,2,3,4
