,comparison,gene,logfoldchange,pval,pval_adj
0,Pdl1_wt+C57_vs_Pdl1_cre,Gja1,2.3975027,0.0,0.0
1,Pdl1_wt+C57_vs_Pdl1_cre,Dsp,1.5536109,0.0,0.0
2,Pdl1_wt+C57_vs_Pdl1_cre,Krt28,5.479563,0.0,0.0
3,Pdl1_wt+C57_vs_Pdl1_cre,Krt71,5.0374303,0.0,0.0
4,Pdl1_wt+C57_vs_Pdl1_cre,Jup,1.3856654,0.0,0.0
5,Pdl1_wt+C57_vs_Pdl1_cre,Evpl,1.963276,0.0,0.0
6,Pdl1_wt+C57_vs_Pdl1_cre,Pinlyp,3.1598885,0.0,0.0
7,Pdl1_wt+C57_vs_Pdl1_cre,Crym,6.3291216,0.0,0.0
8,Pdl1_wt+C57_vs_Pdl1_cre,Fgfr3,1.7368248,1.924263993516535e-269,1.0302530001651095e-268
9,Pdl1_wt+C57_vs_Pdl1_cre,Egr3,1.6786352,6.362382544731461e-266,3.3883071296729463e-265
10,Pdl1_wt+C57_vs_Pdl1_cre,Cdh1,1.343898,8.192081342900353e-226,3.861540414553594e-225
11,Pdl1_wt+C57_vs_Pdl1_cre,Ppl,1.7518634,1.060577036280828e-203,4.7026117304001994e-203
12,Pdl1_wt+C57_vs_Pdl1_cre,Gjb2,2.950849,6.597174502601074e-168,2.6336088963334118e-167
13,Pdl1_wt+C57_vs_Pdl1_cre,Epcam,1.6617017,7.131302332147948e-160,2.791188387391136e-159
14,Pdl1_wt+C57_vs_Pdl1_cre,Serpinb5,1.4870449,1.9046411595336054e-148,7.217739322199264e-148
15,Pdl1_wt+C57_vs_Pdl1_cre,Klf5,1.046977,1.1032781712403655e-146,4.165166308619358e-146
16,Pdl1_wt+C57_vs_Pdl1_cre,Egfr,1.263314,3.1464005247888893e-145,1.1833870042894951e-144
17,Pdl1_wt+C57_vs_Pdl1_cre,Hspa1b,1.047427,1.2614907670171624e-143,4.71974796688185e-143
18,Pdl1_wt+C57_vs_Pdl1_cre,Hr,1.367814,1.4656654454396637e-142,5.463232479427369e-142
19,Pdl1_wt+C57_vs_Pdl1_cre,Slc2a4,1.603333,7.897642722450308e-142,2.937265933773123e-141
