,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
0,Tubb1,Pdl1_wt+C57_vs_Pdl1_cre,0.7926719472939632,0.001139444280123321,0.9381946077578847,1.0547151282812686,0.26204318098730545,3,5,pseudobulk_mean
1,Grm2,Pdl1_wt+C57_vs_Pdl1_cre,1.157413658346218,0.0011875205197679874,0.9381946077578847,1.5555671401235205,0.39815348177730236,3,5,pseudobulk_mean
2,Acss1,Pdl1_wt+C57_vs_Pdl1_cre,-0.7771152796504355,0.0014123669404708555,0.9381946077578847,5.570452204367633,6.347567484018069,3,5,pseudobulk_mean
3,Grk2,Pdl1_wt+C57_vs_Pdl1_cre,-0.390583872151959,0.0017993389176166222,0.9381946077578847,9.229231166780378,9.619815038932337,3,5,pseudobulk_mean
4,Pou6f1,Pdl1_wt+C57_vs_Pdl1_cre,-1.1917245422892053,0.002611282540311055,0.9381946077578847,5.381221407249108,6.572945949538314,3,5,pseudobulk_mean
5,Adipor1,Pdl1_wt+C57_vs_Pdl1_cre,-0.42149359881038784,0.0029658369829695503,0.9381946077578847,8.755975627851596,9.177469226661984,3,5,pseudobulk_mean
6,Mpl,Pdl1_wt+C57_vs_Pdl1_cre,0.7435175478127236,0.002972776510042111,0.9381946077578847,1.0291159440110562,0.28559839619833255,3,5,pseudobulk_mean
7,Stimate,Pdl1_wt+C57_vs_Pdl1_cre,-0.7608626242560117,0.003267153406803717,0.9381946077578847,5.434756092472213,6.195618716728225,3,5,pseudobulk_mean
8,Limd1,Pdl1_wt+C57_vs_Pdl1_cre,-0.4253562059902567,0.003471179225600688,0.9381946077578847,8.662707515199381,9.088063721189638,3,5,pseudobulk_mean
9,Smap1,Pdl1_wt+C57_vs_Pdl1_cre,0.13806272338857895,0.0035043685215297078,0.9381946077578847,8.553893344553215,8.415830621164636,3,5,pseudobulk_mean
10,Hoxb1,Pdl1_wt+C57_vs_Pdl1_cre,0.9553050350918839,0.00353413717838595,0.9381946077578847,1.2109241930727241,0.2556191579808402,3,5,pseudobulk_mean
11,Gfi1,Pdl1_wt+C57_vs_Pdl1_cre,-0.8878810554470764,0.0035984761972572992,0.9381946077578847,0.9152531500262895,1.803134205473366,3,5,pseudobulk_mean
12,Kcnq3,Pdl1_wt+C57_vs_Pdl1_cre,1.5825570806940483,0.0038706009847319744,0.9381946077578847,2.220619403413744,0.6380623227196957,3,5,pseudobulk_mean
13,Cdk7,Pdl1_wt+C57_vs_Pdl1_cre,-1.5084800510079055,0.004679408145589882,0.9381946077578847,3.5551885975970134,5.063668648604919,3,5,pseudobulk_mean
14,Prf1,Pdl1_wt+C57_vs_Pdl1_cre,-1.5430425479347785,0.004914326819472594,0.9381946077578847,1.8024135135727029,3.3454560615074813,3,5,pseudobulk_mean
15,Cntnap4,Pdl1_wt+C57_vs_Pdl1_cre,1.2562106333003942,0.005175957532766932,0.9381946077578847,1.734669526130002,0.47845889282960774,3,5,pseudobulk_mean
16,Krt76,Pdl1_wt+C57_vs_Pdl1_cre,0.7530412625060873,0.00575863918720564,0.9381946077578847,0.8512003209845966,0.09815905847850934,3,5,pseudobulk_mean
17,Brpf3,Pdl1_wt+C57_vs_Pdl1_cre,-0.913970512690474,0.005796374367983821,0.9381946077578847,5.141438095921337,6.055408608611811,3,5,pseudobulk_mean
18,Drd2,Pdl1_wt+C57_vs_Pdl1_cre,0.6692053410990482,0.006262663481642793,0.9381946077578847,0.8944693339971249,0.2252639928980768,3,5,pseudobulk_mean
19,Ctdsp1,Pdl1_wt+C57_vs_Pdl1_cre,-0.6435527603945257,0.006566721694458035,0.9381946077578847,8.24592373421122,8.889476494605745,3,5,pseudobulk_mean
20,Atg3,Pdl1_wt+C57_vs_Pdl1_cre,0.2665909871145917,0.006635813023114243,0.9381946077578847,7.423222212690121,7.156631225575529,3,5,pseudobulk_mean
21,Eif2a,Pdl1_wt+C57_vs_Pdl1_cre,0.39916514651867274,0.006903390210993896,0.9381946077578847,8.405929939676753,8.00676479315808,3,5,pseudobulk_mean
22,Chmp3,Pdl1_wt+C57_vs_Pdl1_cre,-0.47637427033377566,0.007158547938374021,0.9381946077578847,6.15688022487882,6.633254495212595,3,5,pseudobulk_mean
23,Cyren,Pdl1_wt+C57_vs_Pdl1_cre,0.8389549396869311,0.007429150705647608,0.9381946077578847,5.300770353242871,4.46181541355594,3,5,pseudobulk_mean
24,Agtrap,Pdl1_wt+C57_vs_Pdl1_cre,-0.6570222031254573,0.007860562426157293,0.9381946077578847,4.63637772708265,5.293399930208107,3,5,pseudobulk_mean
25,Fbxl4,Pdl1_wt+C57_vs_Pdl1_cre,-0.2573862904276458,0.007988966314550466,0.9381946077578847,5.346240172609909,5.603626463037555,3,5,pseudobulk_mean
26,Mbnl1,Pdl1_wt+C57_vs_Pdl1_cre,-0.5422902534592655,0.008389193465665185,0.9381946077578847,7.917939444969292,8.460229698428558,3,5,pseudobulk_mean
27,Cd79b,Pdl1_wt+C57_vs_Pdl1_cre,-1.180645540621424,0.00849628879312305,0.9381946077578847,1.8607498599058572,3.041395400527281,3,5,pseudobulk_mean
28,Sos1,Pdl1_wt+C57_vs_Pdl1_cre,-0.17886642957317633,0.008535071743660525,0.9381946077578847,6.747719004722036,6.9265854342952125,3,5,pseudobulk_mean
29,Rnf31,Pdl1_wt+C57_vs_Pdl1_cre,-0.9019431167759251,0.008721572458495168,0.9381946077578847,6.122005084518041,7.023948201293966,3,5,pseudobulk_mean
