,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
16986,Sesn1,cre_72h_vs_litt_72h,0.3735641661199338,0.4210218421089931,0.8932751903536521,8.428508898402251,8.054944732282317,3,3,pseudobulk_mean
16987,Gosr1,cre_72h_vs_litt_72h,0.1379804844318313,0.42143432083593585,0.8932751903536521,7.574176705788452,7.436196221356621,3,3,pseudobulk_mean
16988,Myo1d,cre_72h_vs_litt_72h,0.4403039955904635,0.4214366048543563,0.8932751903536521,7.756739225196955,7.316435229606491,3,3,pseudobulk_mean
16989,Bmp4,cre_72h_vs_litt_72h,1.937062378887851,0.4214582182714315,0.8932751903536521,5.736727541929365,3.7996651630415137,3,3,pseudobulk_mean
16990,Sh3gl1,cre_72h_vs_litt_72h,0.21475081053736744,0.42164425531482347,0.8932751903536521,8.932171056061085,8.717420245523718,3,3,pseudobulk_mean
16991,Il15,cre_72h_vs_litt_72h,-0.927584558317819,0.42166789629637813,0.8932751903536521,4.618192368499212,5.545776926817031,3,3,pseudobulk_mean
16992,Trmt2a,cre_72h_vs_litt_72h,1.830587623805672,0.4218183070367655,0.8932751903536521,5.477614240422874,3.6470266166172016,3,3,pseudobulk_mean
16993,Parva,cre_72h_vs_litt_72h,0.23731287484902985,0.4218308647023324,0.8932751903536521,8.04911941365747,7.81180653880844,3,3,pseudobulk_mean
16994,Tceal9,cre_72h_vs_litt_72h,1.1310815266665584,0.4218714796808115,0.8932751903536521,8.236217712067214,7.105136185400656,3,3,pseudobulk_mean
16995,Prmt5,cre_72h_vs_litt_72h,0.7270888668509023,0.42196615615284305,0.8932751903536521,7.064204761386009,6.337115894535106,3,3,pseudobulk_mean
16996,Pkp4,cre_72h_vs_litt_72h,2.1577792608934585,0.4220006556710787,0.8932751903536521,6.462629586934422,4.304850326040963,3,3,pseudobulk_mean
16997,Ern1,cre_72h_vs_litt_72h,-0.5063222675946824,0.4220910119357909,0.8932751903536521,7.250887951133212,7.757210218727894,3,3,pseudobulk_mean
16998,Zeb2,cre_72h_vs_litt_72h,-0.7091767752164984,0.42210302777953596,0.8932751903536521,7.178792539193487,7.887969314409985,3,3,pseudobulk_mean
16999,Rpa1,cre_72h_vs_litt_72h,0.9170203142490685,0.42225792897745085,0.8932751903536521,8.610522993940872,7.693502679691804,3,3,pseudobulk_mean
17000,Spo11,cre_72h_vs_litt_72h,1.28327565530276,0.42239135596757915,0.8932751903536521,2.5099724587937,1.2266968034909398,3,3,pseudobulk_mean
17001,Cbln2,cre_72h_vs_litt_72h,1.5587268134964067,0.4226024373910703,0.8932751903536521,4.668567500475471,3.1098406869790645,3,3,pseudobulk_mean
17002,Stra8,cre_72h_vs_litt_72h,1.0748936948825636,0.42264973081037416,0.8932751903536521,1.0748936948825636,0.0,3,3,pseudobulk_mean
17003,Cftr,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17004,Fmo4,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17005,Ghsr,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17006,Gjd2,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17007,Hfm1,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17008,Kiss1,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17009,Prss42,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17010,Ros1,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
