,comparison,gene,logfoldchange,pval,pval_adj
12239,litt_24h_vs_wt_24h,Lgr6,0.046839293,0.9889505264248866,1.0
12240,litt_24h_vs_wt_24h,Cst7,0.11090398,0.9889513836494405,1.0
12241,litt_24h_vs_wt_24h,Nhlh2,1.3739831,0.9891168282259308,1.0
12242,litt_24h_vs_wt_24h,Pcdha7,1.3739831,0.9891168282259308,1.0
12243,litt_24h_vs_wt_24h,Tmem108,1.3739831,0.9891168282259308,1.0
12244,litt_24h_vs_wt_24h,Oxt,0.95889366,0.9891176854529407,1.0
12245,litt_24h_vs_wt_24h,Sst,0.95889366,0.9891176854529407,1.0
12246,litt_24h_vs_wt_24h,Dmrt1,0.95889366,0.9891176854529407,1.0
12247,litt_24h_vs_wt_24h,Lhx1,0.95889366,0.9891176854529407,1.0
12248,litt_24h_vs_wt_24h,Trhr2,0.95889366,0.9891176854529407,1.0
12249,litt_24h_vs_wt_24h,Etnppl,0.95889366,0.9891176854529407,1.0
12250,litt_24h_vs_wt_24h,Slc17a8,0.95889366,0.9891176854529407,1.0
12251,litt_24h_vs_wt_24h,Apcs,0.95889366,0.9891176854529407,1.0
12252,litt_24h_vs_wt_24h,Olig1,0.95889366,0.9891176854529407,1.0
12253,litt_24h_vs_wt_24h,Elavl2,0.95889366,0.9891176854529407,1.0
12254,litt_24h_vs_wt_24h,Gkn2,0.95889366,0.9891176854529407,1.0
12255,litt_24h_vs_wt_24h,Wnt1,0.95889366,0.9891176854529407,1.0
12256,litt_24h_vs_wt_24h,Slc16a8,0.95889366,0.9891176854529407,1.0
12257,litt_24h_vs_wt_24h,Gdap1,0.95889366,0.9891176854529407,1.0
12258,litt_24h_vs_wt_24h,Chrnb3,0.95889366,0.9891176854529407,1.0
12259,litt_24h_vs_wt_24h,Fmo4,0.95889366,0.9891176854529407,1.0
12260,litt_24h_vs_wt_24h,Npc1l1,0.95889366,0.9891176854529407,1.0
12261,litt_24h_vs_wt_24h,Sox3,0.95889366,0.9891176854529407,1.0
12262,litt_24h_vs_wt_24h,Gpr26,0.95889366,0.9891176854529407,1.0
12263,litt_24h_vs_wt_24h,Apip,0.111062795,0.9892059799020516,1.0
12264,litt_24h_vs_wt_24h,Slc25a51,0.02243469,0.9892857021881485,1.0
12265,litt_24h_vs_wt_24h,Fam104a,0.02243469,0.9892857021881485,1.0
12266,litt_24h_vs_wt_24h,Cpt1c,-0.041266922,0.9893654245812238,1.0
12267,litt_24h_vs_wt_24h,Akip1,0.052006904,0.9894340030688547,1.0
12268,litt_24h_vs_wt_24h,Galnt15,0.045307595,0.9894382892269288,1.0
12269,litt_24h_vs_wt_24h,Tnxb,-0.107674636,0.9895505866767154,1.0
12270,litt_24h_vs_wt_24h,Tmem35a,0.15159494,0.9895883049506781,1.0
12271,litt_24h_vs_wt_24h,Mkks,0.09014078,0.9896003062245501,1.0
12272,litt_24h_vs_wt_24h,Igkc,0.37393165,0.9897666098320931,1.0
12273,litt_24h_vs_wt_24h,Cpn1,0.37393165,0.9897666098320931,1.0
12274,litt_24h_vs_wt_24h,C2cd6,0.37393165,0.9897666098320931,1.0
12275,litt_24h_vs_wt_24h,Uts2,0.37393165,0.9897666098320931,1.0
12276,litt_24h_vs_wt_24h,Pfn4,0.37393165,0.9897666098320931,1.0
12277,litt_24h_vs_wt_24h,Esrrg,0.37393165,0.9897666098320931,1.0
12278,litt_24h_vs_wt_24h,Scn8a,0.37393165,0.9897666098320931,1.0
12279,litt_24h_vs_wt_24h,Noxo1,0.37393165,0.9897666098320931,1.0
12280,litt_24h_vs_wt_24h,Crb1,0.37393165,0.9897666098320931,1.0
12281,litt_24h_vs_wt_24h,Cldn19,0.37393165,0.9897666098320931,1.0
12282,litt_24h_vs_wt_24h,Nr0b1,0.37393165,0.9897666098320931,1.0
12283,litt_24h_vs_wt_24h,Cyp8b1,0.37393165,0.9897666098320931,1.0
12284,litt_24h_vs_wt_24h,E2f1,-0.03222994,0.9898883374971719,1.0
12285,litt_24h_vs_wt_24h,Tmem98,-0.057951495,0.9901566535297986,1.0
12286,litt_24h_vs_wt_24h,Nr5a2,0.22192448,0.9904155409811068,1.0
12287,litt_24h_vs_wt_24h,Thpo,0.22192448,0.9904155409811068,1.0
12288,litt_24h_vs_wt_24h,Slc30a10,0.22192448,0.9904155409811068,1.0
12289,litt_24h_vs_wt_24h,Lmx1b,0.22192448,0.9904155409811068,1.0
12290,litt_24h_vs_wt_24h,Hapln1,0.22192448,0.9904155409811068,1.0
12291,litt_24h_vs_wt_24h,Plaat1,0.22192448,0.9904155409811068,1.0
12292,litt_24h_vs_wt_24h,Rph3a,0.22192448,0.9904155409811068,1.0
12293,litt_24h_vs_wt_24h,Cyp1a1,0.22192448,0.9904155409811068,1.0
12294,litt_24h_vs_wt_24h,Hace1,-0.0038618366,0.9906727149451832,1.0
12295,litt_24h_vs_wt_24h,Med15,0.0042667813,0.9907207208599466,1.0
12296,litt_24h_vs_wt_24h,Agt,0.11094368,0.9908827410692767,1.0
12297,litt_24h_vs_wt_24h,Lyg1,0.37403014,0.991058477700018,1.0
12298,litt_24h_vs_wt_24h,Kif5a,0.15153068,0.9910644784707267,1.0
12299,litt_24h_vs_wt_24h,Bcl7a,0.069175,0.9911424885358133,1.0
12300,litt_24h_vs_wt_24h,Nadk2,0.051991716,0.9915471135120578,1.0
12301,litt_24h_vs_wt_24h,Ccser2,0.051991716,0.9915471135120578,1.0
12302,litt_24h_vs_wt_24h,Cbx7,0.051991716,0.9915471135120578,1.0
12303,litt_24h_vs_wt_24h,Kcng2,0.110884115,0.9917134218716847,1.0
12304,litt_24h_vs_wt_24h,Tnfsf13b,-0.04120162,0.9917262807805582,1.0
12305,litt_24h_vs_wt_24h,Abca4,-0.04120162,0.9917262807805582,1.0
12306,litt_24h_vs_wt_24h,Sumo3,0.072020896,0.991771715609101,1.0
12307,litt_24h_vs_wt_24h,Vps9d1,0.043822654,0.9918257230815009,1.0
12308,litt_24h_vs_wt_24h,Wnt3a,0.009119467,0.9918900177403157,1.0
12309,litt_24h_vs_wt_24h,Pms2,0.084407285,0.9923623707547012,1.0
12310,litt_24h_vs_wt_24h,Slc6a19,0.084407285,0.9923623707547012,1.0
12311,litt_24h_vs_wt_24h,Chrm5,16.182,0.9925286808101803,1.0
12312,litt_24h_vs_wt_24h,Gsx2,17.767057,0.9925286808101803,1.0
12313,litt_24h_vs_wt_24h,Gnat1,16.182,0.9925286808101803,1.0
12314,litt_24h_vs_wt_24h,Spatc1l,17.182043,0.9925286808101803,1.0
12315,litt_24h_vs_wt_24h,Calb2,16.182,0.9925286808101803,1.0
12316,litt_24h_vs_wt_24h,Calb1,16.182,0.9925286808101803,1.0
12317,litt_24h_vs_wt_24h,Hnf1b,16.182,0.9925286808101803,1.0
12318,litt_24h_vs_wt_24h,Brs3,16.182,0.9925286808101803,1.0
12319,litt_24h_vs_wt_24h,Olig3,16.182,0.9925286808101803,1.0
12320,litt_24h_vs_wt_24h,Gdf9,16.182,0.9925286808101803,1.0
12321,litt_24h_vs_wt_24h,Cndp1,16.182,0.9925286808101803,1.0
12322,litt_24h_vs_wt_24h,Gsc,16.182,0.9925286808101803,1.0
12323,litt_24h_vs_wt_24h,Cyp11b2,16.182,0.9925286808101803,1.0
12324,litt_24h_vs_wt_24h,Ntrk1,16.182,0.9925286808101803,1.0
12325,litt_24h_vs_wt_24h,Fgf3,16.182,0.9925286808101803,1.0
12326,litt_24h_vs_wt_24h,Gabpb1,-0.0016568191,0.9928038646527027,1.0
12327,litt_24h_vs_wt_24h,Zfhx3,0.036875516,0.9928450137128708,1.0
12328,litt_24h_vs_wt_24h,Atp6v0a1,0.04087816,0.99292816916327,1.0
12329,litt_24h_vs_wt_24h,Ptger4,0.13295478,0.9930001801308669,1.0
12330,litt_24h_vs_wt_24h,Bmp10,0.69588745,0.9931759214209392,1.0
12331,litt_24h_vs_wt_24h,Gpm6a,0.69588745,0.9931759214209392,1.0
12332,litt_24h_vs_wt_24h,Slc30a8,0.37390667,0.9931776359717553,1.0
12333,litt_24h_vs_wt_24h,Itln1,0.37390667,0.9931776359717553,1.0
12334,litt_24h_vs_wt_24h,Slc5a12,0.37390667,0.9931776359717553,1.0
12335,litt_24h_vs_wt_24h,Gpr88,0.37390667,0.9931776359717553,1.0
12336,litt_24h_vs_wt_24h,Crb2,0.37390667,0.9931776359717553,1.0
12337,litt_24h_vs_wt_24h,Il25,0.37390667,0.9931776359717553,1.0
12338,litt_24h_vs_wt_24h,Chrna4,0.37390667,0.9931776359717553,1.0
12339,litt_24h_vs_wt_24h,Ifng,0.37390667,0.9931776359717553,1.0
12340,litt_24h_vs_wt_24h,Cnpy1,0.37390667,0.9931776359717553,1.0
12341,litt_24h_vs_wt_24h,Amhr2,0.37390667,0.9931776359717553,1.0
12342,litt_24h_vs_wt_24h,Hrh3,0.37390667,0.9931776359717553,1.0
12343,litt_24h_vs_wt_24h,Nuak2,-0.008050981,0.9934296752802372,1.0
12344,litt_24h_vs_wt_24h,Mmp15,0.0658372,0.9934716818960726,1.0
12345,litt_24h_vs_wt_24h,Ccl25,0.16756098,0.9936345648622349,1.0
12346,litt_24h_vs_wt_24h,Ebi3,0.05197653,0.9936602832497381,1.0
12347,litt_24h_vs_wt_24h,Map2k3,0.05197653,0.9936602832497381,1.0
12348,litt_24h_vs_wt_24h,Frmd7,0.05197653,0.9936602832497381,1.0
12349,litt_24h_vs_wt_24h,Mest,-0.041215617,0.9936808579644846,1.0
12350,litt_24h_vs_wt_24h,Eci3,0.37395635,0.993823166522456,1.0
12351,litt_24h_vs_wt_24h,Vit,0.18125801,0.9938265956467774,1.0
12352,litt_24h_vs_wt_24h,Kcnf1,0.18125801,0.9938265956467774,1.0
12353,litt_24h_vs_wt_24h,Sytl5,0.18125801,0.9938265956467774,1.0
12354,litt_24h_vs_wt_24h,Klrc1,0.18125801,0.9938265956467774,1.0
12355,litt_24h_vs_wt_24h,Nlrp9b,0.18125801,0.9938265956467774,1.0
12356,litt_24h_vs_wt_24h,Snap25,0.18125801,0.9938265956467774,1.0
12357,litt_24h_vs_wt_24h,Ugt8a,-0.14075224,0.9938325966146145,1.0
12358,litt_24h_vs_wt_24h,Cd79b,-0.6263439,0.9938445985513349,1.0
12359,litt_24h_vs_wt_24h,Nkd2,-0.024730984,0.9941806533350692,1.0
12360,litt_24h_vs_wt_24h,Klrg1,0.24842122,0.9944704156888123,1.0
12361,litt_24h_vs_wt_24h,Rarb,0.11086424,0.9944755594059349,1.0
12362,litt_24h_vs_wt_24h,Mfsd2b,0.11086424,0.9944755594059349,1.0
12363,litt_24h_vs_wt_24h,Hist2h2be,0.11086424,0.9944755594059349,1.0
12364,litt_24h_vs_wt_24h,Mapk3,0.038767215,0.9945904358144336,1.0
12365,litt_24h_vs_wt_24h,Lrrk1,0.007353045,0.9947824682689032,1.0
12366,litt_24h_vs_wt_24h,Rab5b,0.0018987283,0.994811616078865,1.0
12367,litt_24h_vs_wt_24h,C6,0.096439466,0.9949350657032399,1.0
12368,litt_24h_vs_wt_24h,Pthlh,0.18130252,0.9951176684940821,1.0
12369,litt_24h_vs_wt_24h,Piezo2,0.07433378,0.9951245268199075,1.0
12370,litt_24h_vs_wt_24h,Ciart,0.07433378,0.9951245268199075,1.0
12371,litt_24h_vs_wt_24h,Cyct,0.07433378,0.9951245268199075,1.0
12372,litt_24h_vs_wt_24h,Dock3,0.07433378,0.9951245268199075,1.0
12373,litt_24h_vs_wt_24h,Ccl11,-0.0108337635,0.9953868580484139,1.0
12374,litt_24h_vs_wt_24h,Plppr3,0.22199349,0.9957563515657852,1.0
12375,litt_24h_vs_wt_24h,Pcbp3,0.05196134,0.995773497459368,1.0
12376,litt_24h_vs_wt_24h,Cldn6,0.05196134,0.995773497459368,1.0
12377,litt_24h_vs_wt_24h,Tmem41b,0.014344831,0.9960898395379054,1.0
12378,litt_24h_vs_wt_24h,Ahi1,0.014344831,0.9960898395379054,1.0
12379,litt_24h_vs_wt_24h,St6galnac5,-0.001652269,0.9962673000006109,1.0
12380,litt_24h_vs_wt_24h,Dnmt3l,-0.04123427,0.9962870178413592,1.0
12381,litt_24h_vs_wt_24h,Vav2,0.036849808,0.9964224708949828,1.0
12382,litt_24h_vs_wt_24h,Il10,0.036849808,0.9964224708949828,1.0
12383,litt_24h_vs_wt_24h,Crhbp,0.95889366,0.9965879295113831,1.0
12384,litt_24h_vs_wt_24h,Otx2,0.95889366,0.9965879295113831,1.0
12385,litt_24h_vs_wt_24h,Pax9,0.37388074,0.9965887868103018,1.0
