,comparison,gene,logfoldchange,pval,pval_adj
0,Pdl1_wt+C57_vs_Pdl1_cre,Gja1,2.3975027,0.0,0.0
1,Pdl1_wt+C57_vs_Pdl1_cre,Dsp,1.5536109,0.0,0.0
2,Pdl1_wt+C57_vs_Pdl1_cre,Krt28,5.479563,0.0,0.0
3,Pdl1_wt+C57_vs_Pdl1_cre,Krt71,5.0374303,0.0,0.0
4,Pdl1_wt+C57_vs_Pdl1_cre,Jup,1.3856654,0.0,0.0
5,Pdl1_wt+C57_vs_Pdl1_cre,Evpl,1.9632761,0.0,0.0
6,Pdl1_wt+C57_vs_Pdl1_cre,Pinlyp,3.1598885,0.0,0.0
7,Pdl1_wt+C57_vs_Pdl1_cre,Crym,6.3291216,0.0,0.0
8,Pdl1_wt+C57_vs_Pdl1_cre,Fgfr3,1.7368248,1.9252979623029547e-269,1.0308065881592077e-268
9,Pdl1_wt+C57_vs_Pdl1_cre,Egr3,1.6786352,6.364867363326004e-266,3.3896304277457425e-265
10,Pdl1_wt+C57_vs_Pdl1_cre,Cdh1,1.343898,8.194576004374922e-226,3.862716335018913e-225
11,Pdl1_wt+C57_vs_Pdl1_cre,Ppl,1.7518634,1.060393588616718e-203,4.70179832118272e-203
12,Pdl1_wt+C57_vs_Pdl1_cre,Gjb2,2.950849,6.597583150511383e-168,2.6337720296220084e-167
13,Pdl1_wt+C57_vs_Pdl1_cre,Epcam,1.6617017,7.134276283854116e-160,2.7923523906938003e-159
14,Pdl1_wt+C57_vs_Pdl1_cre,Serpinb5,1.4870449,1.9045968168360667e-148,7.217571283180431e-148
15,Pdl1_wt+C57_vs_Pdl1_cre,Klf5,1.046977,1.1031164834595728e-146,4.164555894569096e-146
16,Pdl1_wt+C57_vs_Pdl1_cre,Egfr,1.263314,3.1462556352786296e-145,1.1833325101581382e-144
17,Pdl1_wt+C57_vs_Pdl1_cre,Hspa1b,1.047427,1.26204448900426e-143,4.721819665138509e-143
18,Pdl1_wt+C57_vs_Pdl1_cre,Hr,1.367814,1.4657434562261655e-142,5.463523262746228e-142
19,Pdl1_wt+C57_vs_Pdl1_cre,Slc2a4,1.603333,7.89809193483716e-142,2.93743300340229e-141
