,comparison,gene,logfoldchange,pval,pval_adj
20,Pdl1_wt+C57_vs_Pdl1_cre,Dsc3,0.9728171,1.890026066400843e-139,6.987792088923649e-139
21,Pdl1_wt+C57_vs_Pdl1_cre,Cxcl14,1.8921797,3.4258369479641346e-135,1.247253800836979e-134
22,Pdl1_wt+C57_vs_Pdl1_cre,Ezr,1.2701,1.556197998457356e-132,5.6126276514967745e-132
23,Pdl1_wt+C57_vs_Pdl1_cre,Trim29,1.1678333,3.630259590186985e-130,1.296225357237949e-129
24,Pdl1_wt+C57_vs_Pdl1_cre,Lsr,1.4573838,1.0564852990206229e-126,3.7297358299698436e-126
25,Pdl1_wt+C57_vs_Pdl1_cre,Trp63,1.0572867,7.272395987624682e-122,2.52116442618069e-121
26,Pdl1_wt+C57_vs_Pdl1_cre,Cldn1,1.614511,5.083713834009252e-111,1.704559373948447e-110
27,Pdl1_wt+C57_vs_Pdl1_cre,App,0.773899,1.5913721837909631e-105,5.244508987529665e-105
28,Pdl1_wt+C57_vs_Pdl1_cre,Dsc1,1.5059277,1.7878382233865426e-99,5.744491749854321e-99
29,Pdl1_wt+C57_vs_Pdl1_cre,Zfp750,1.8899357,4.4416956398271446e-97,1.4144483697821048e-96
30,Pdl1_wt+C57_vs_Pdl1_cre,Sdc1,1.3913358,1.1475981815719332e-93,3.6131298722950296e-93
31,Pdl1_wt+C57_vs_Pdl1_cre,Tacstd2,1.4346563,7.793223329307774e-88,2.406716593862722e-87
32,Pdl1_wt+C57_vs_Pdl1_cre,Xist,2.088435,1.5804619979071646e-83,4.830154311064265e-83
33,Pdl1_wt+C57_vs_Pdl1_cre,Dsg1b,0.85061425,5.567913699725254e-82,1.6923482684167954e-81
34,Pdl1_wt+C57_vs_Pdl1_cre,Apoa4,1.5273417,1.992955707383967e-76,5.924427714468016e-76
35,Pdl1_wt+C57_vs_Pdl1_cre,Padi4,4.707101,5.683583125044842e-69,1.6427261618922907e-68
36,Pdl1_wt+C57_vs_Pdl1_cre,Gata3,1.0282346,1.0511614194725358e-67,3.0207313811019025e-67
37,Pdl1_wt+C57_vs_Pdl1_cre,Gpc4,1.4457923,6.300553132420219e-66,1.7930965878849127e-65
38,Pdl1_wt+C57_vs_Pdl1_cre,Fzd1,1.3438252,1.2456845316019386e-62,3.475973670679657e-62
39,Pdl1_wt+C57_vs_Pdl1_cre,Celsr1,1.5498406,4.852501437008805e-62,1.3510357171115727e-61
40,Pdl1_wt+C57_vs_Pdl1_cre,Rbp1,2.211417,1.1450114786900246e-61,3.1808698459058065e-61
41,Pdl1_wt+C57_vs_Pdl1_cre,Lrrc15,3.659311,6.727384966427875e-59,1.842302469471441e-58
42,Pdl1_wt+C57_vs_Pdl1_cre,Camsap3,1.2324106,1.4442613117561639e-58,3.950804440793091e-58
43,Pdl1_wt+C57_vs_Pdl1_cre,Ephb3,2.3305268,9.308622387916073e-57,2.5284299334730256e-56
44,Pdl1_wt+C57_vs_Pdl1_cre,Ace2,2.8339689,8.868729909427605e-55,2.383084376092034e-54
45,Pdl1_wt+C57_vs_Pdl1_cre,Map1lc3a,1.2791233,3.649784880264632e-51,9.631430211178043e-51
46,Pdl1_wt+C57_vs_Pdl1_cre,Notch1,1.3446369,1.6269712567258628e-49,4.241988599567536e-49
47,Pdl1_wt+C57_vs_Pdl1_cre,Sox9,1.5299381,2.9569504199248814e-49,7.697604681302109e-49
48,Pdl1_wt+C57_vs_Pdl1_cre,Shroom3,1.9709517,1.284270261857241e-46,3.2902031375933208e-46
49,Pdl1_wt+C57_vs_Pdl1_cre,Gjb6,3.945652,3.532746951795718e-40,8.72898876638172e-40
50,Pdl1_wt+C57_vs_Pdl1_cre,Pdcd4,1.4099585,6.186816009679415e-39,1.5152250951298997e-38
51,Pdl1_wt+C57_vs_Pdl1_cre,Slc15a1,2.5524125,6.878321388919694e-38,1.6796525303869262e-37
52,Pdl1_wt+C57_vs_Pdl1_cre,Ece1,1.0909706,2.3704384020618627e-36,5.7548082641715254e-36
53,Pdl1_wt+C57_vs_Pdl1_cre,Hopx,1.4802524,1.7680640925358597e-35,4.269623177633629e-35
54,Pdl1_wt+C57_vs_Pdl1_cre,Epha1,1.8014051,1.1345368433944277e-32,2.6904270194374726e-32
55,Pdl1_wt+C57_vs_Pdl1_cre,Fgfr2,0.66681576,3.261010940357826e-31,7.6569515794705805e-31
56,Pdl1_wt+C57_vs_Pdl1_cre,Slc1a3,1.5921522,6.1691664281558754e-30,1.4344099925382402e-29
57,Pdl1_wt+C57_vs_Pdl1_cre,Mxd1,1.8836445,1.6357685679453004e-26,3.7221170232428064e-26
58,Pdl1_wt+C57_vs_Pdl1_cre,Map7,1.2575876,1.8853640257714104e-26,4.2842180267869636e-26
59,Pdl1_wt+C57_vs_Pdl1_cre,Gas1,0.68464243,2.6646994988648293e-26,6.049653374747091e-26
60,Pdl1_wt+C57_vs_Pdl1_cre,Abca1,1.0130422,3.0997581181550554e-26,7.024621611355458e-26
61,Pdl1_wt+C57_vs_Pdl1_cre,Ovol1,2.2993832,3.995010748805645e-26,9.045239171651316e-26
62,Pdl1_wt+C57_vs_Pdl1_cre,Foxn1,3.6265085,2.3640225629405877e-25,5.323570377903996e-25
63,Pdl1_wt+C57_vs_Pdl1_cre,Cryba4,6.2138834,6.399576350757365e-25,1.4366044489637386e-24
64,Pdl1_wt+C57_vs_Pdl1_cre,Sct,5.532377,1.1366755899034378e-24,2.5448112714922224e-24
65,Pdl1_wt+C57_vs_Pdl1_cre,Grhl3,1.2066643,4.9818321324558556e-24,1.1098821386325774e-23
66,Pdl1_wt+C57_vs_Pdl1_cre,Epn3,1.2217302,2.814450903553642e-23,6.214883644988765e-23
67,Pdl1_wt+C57_vs_Pdl1_cre,Klc3,1.2001531,3.972693289254142e-23,8.764787397975422e-23
68,Pdl1_wt+C57_vs_Pdl1_cre,Cd24a,0.99098086,5.1695258165153913e-23,1.1390249224241218e-22
69,Pdl1_wt+C57_vs_Pdl1_cre,Cited4,2.6106095,5.180836482701658e-23,1.1410148452443687e-22
70,Pdl1_wt+C57_vs_Pdl1_cre,Ly6g6d,4.7299123,7.942855594823092e-23,1.746242209384471e-22
71,Pdl1_wt+C57_vs_Pdl1_cre,Trpv3,2.8191514,1.4024410477670082e-22,3.0805703752179213e-22
72,Pdl1_wt+C57_vs_Pdl1_cre,Prom2,1.4201545,1.6979753103308302e-22,3.726464008555956e-22
73,Pdl1_wt+C57_vs_Pdl1_cre,Sptbn2,1.1254104,5.659768244362769e-22,1.2372401673048043e-21
74,Pdl1_wt+C57_vs_Pdl1_cre,Itgb4,0.8315687,6.092512712393259e-22,1.3306770784572713e-21
75,Pdl1_wt+C57_vs_Pdl1_cre,Wnt5a,2.713601,6.945104327914871e-22,1.5149103383678363e-21
76,Pdl1_wt+C57_vs_Pdl1_cre,Epha4,1.9325954,7.579196977343469e-22,1.649628698633974e-21
77,Pdl1_wt+C57_vs_Pdl1_cre,Lmna,0.35041538,1.5212945445248646e-21,3.3010838707808722e-21
78,Pdl1_wt+C57_vs_Pdl1_cre,Cxadr,0.9063299,1.8592582404664835e-21,4.030942724891822e-21
79,Pdl1_wt+C57_vs_Pdl1_cre,Ifit3,1.1548922,1.871866899131731e-21,4.056521946776383e-21
80,Pdl1_wt+C57_vs_Pdl1_cre,Lipm,1.2385577,1.1716899444275592e-20,2.5260464521121282e-20
81,Pdl1_wt+C57_vs_Pdl1_cre,Mafb,0.7656493,2.6733585300296623e-20,5.73877907432611e-20
82,Pdl1_wt+C57_vs_Pdl1_cre,Lrig1,1.34499,7.156255665193404e-20,1.5302954233215797e-19
83,Pdl1_wt+C57_vs_Pdl1_cre,Irx2,1.3633183,7.650632585597779e-19,1.624907370534683e-18
84,Pdl1_wt+C57_vs_Pdl1_cre,F11r,1.2326671,9.68069357329604e-19,2.049981050250422e-18
85,Pdl1_wt+C57_vs_Pdl1_cre,Bcam,0.7671994,9.65825197909508e-18,2.0323333084216046e-17
86,Pdl1_wt+C57_vs_Pdl1_cre,Angptl4,1.2442489,6.047987248834154e-17,1.2657284351030006e-16
87,Pdl1_wt+C57_vs_Pdl1_cre,Zbtb16,0.65129715,2.448304100974443e-16,5.104627375875911e-16
88,Pdl1_wt+C57_vs_Pdl1_cre,Gabrp,4.5940866,7.925727022958109e-16,1.646314916055116e-15
89,Pdl1_wt+C57_vs_Pdl1_cre,Arnt2,1.4036163,4.3121243041289086e-15,8.897977850976635e-15
90,Pdl1_wt+C57_vs_Pdl1_cre,Tfap2c,1.1389569,4.586807651694785e-15,9.460881377990975e-15
91,Pdl1_wt+C57_vs_Pdl1_cre,Tbx1,1.4653581,8.696167371747608e-15,1.7900087937075874e-14
92,Pdl1_wt+C57_vs_Pdl1_cre,Id4,1.6375644,1.129299551806909e-14,2.3226267692462556e-14
93,Pdl1_wt+C57_vs_Pdl1_cre,Elovl4,0.6531739,1.5742104250794953e-14,3.231036239421055e-14
94,Pdl1_wt+C57_vs_Pdl1_cre,Chmp4c,1.5741056,5.427947655803601e-14,1.1095265808474e-13
95,Pdl1_wt+C57_vs_Pdl1_cre,Myo1d,1.3970306,5.441840950984566e-14,1.111912481658316e-13
96,Pdl1_wt+C57_vs_Pdl1_cre,Efnb1,1.2385085,9.511916798184769e-14,1.9403690094422556e-13
97,Pdl1_wt+C57_vs_Pdl1_cre,Wnt11,3.492572,1.6716712456758156e-13,3.3990196002652854e-13
98,Pdl1_wt+C57_vs_Pdl1_cre,Cbs,2.5810053,1.779925792131616e-13,3.6161966377479184e-13
99,Pdl1_wt+C57_vs_Pdl1_cre,Bmpr1a,1.6030871,2.7804408851460496e-13,5.632896426969293e-13
100,Pdl1_wt+C57_vs_Pdl1_cre,Id1,0.64978886,3.6451836922853617e-13,7.375824399183719e-13
101,Pdl1_wt+C57_vs_Pdl1_cre,Fzd5,2.178012,6.290818420922082e-13,1.2708570224025804e-12
102,Pdl1_wt+C57_vs_Pdl1_cre,Clic3,0.9088479,7.390785566615411e-13,1.4918658284869655e-12
103,Pdl1_wt+C57_vs_Pdl1_cre,Casz1,1.1281453,8.166445603401894e-13,1.6471082470036213e-12
104,Pdl1_wt+C57_vs_Pdl1_cre,Cpa4,1.7229664,1.205422998812492e-12,2.4283088660182434e-12
105,Pdl1_wt+C57_vs_Pdl1_cre,Aqp3,0.93522435,1.3711178888050272e-12,2.7587685495811763e-12
106,Pdl1_wt+C57_vs_Pdl1_cre,Dusp5,1.9442949,1.9582197179044842e-12,3.932149180838286e-12
107,Pdl1_wt+C57_vs_Pdl1_cre,Crabp2,1.3173085,5.209611409264239e-12,1.041506178705143e-11
108,Pdl1_wt+C57_vs_Pdl1_cre,Ptprf,1.2298099,6.050494751764828e-12,1.208650308353341e-11
109,Pdl1_wt+C57_vs_Pdl1_cre,Fzd10,1.6088085,6.682518245002944e-12,1.3338391680416563e-11
110,Pdl1_wt+C57_vs_Pdl1_cre,Prdm1,2.0891402,9.71560972551768e-12,1.935389665178731e-11
111,Pdl1_wt+C57_vs_Pdl1_cre,Cdh3,1.5561132,1.0784934218675186e-11,2.1475489538062047e-11
112,Pdl1_wt+C57_vs_Pdl1_cre,Dsg1a,0.7367161,1.5417826587701727e-11,3.067632746344787e-11
113,Pdl1_wt+C57_vs_Pdl1_cre,Slc40a1,1.939351,4.9826554411904246e-11,9.85896171486137e-11
114,Pdl1_wt+C57_vs_Pdl1_cre,Cacnb1,1.2140352,5.920351246208228e-11,1.1691234058587137e-10
115,Pdl1_wt+C57_vs_Pdl1_cre,Pla2g2f,0.99996614,6.853096161082002e-11,1.3517178637658196e-10
116,Pdl1_wt+C57_vs_Pdl1_cre,Slc4a1,3.4955337,1.0449412071676458e-10,2.055393195709719e-10
117,Pdl1_wt+C57_vs_Pdl1_cre,Msx2,3.2250423,1.079294609335163e-10,2.1221322915678816e-10
118,Pdl1_wt+C57_vs_Pdl1_cre,Grhl2,1.2758543,2.764528039272325e-10,5.416527344265072e-10
119,Pdl1_wt+C57_vs_Pdl1_cre,Adtrp,1.2656891,5.60386913067641e-10,1.0941095502404878e-09
120,Pdl1_wt+C57_vs_Pdl1_cre,Lypd6b,2.1243637,7.08738544303905e-10,1.3826754297682574e-09
121,Pdl1_wt+C57_vs_Pdl1_cre,Myh1,1.6397722,7.715849343865875e-10,1.5046958245186044e-09
122,Pdl1_wt+C57_vs_Pdl1_cre,Dlx3,3.271256,9.474597498610197e-10,1.8455188746320096e-09
123,Pdl1_wt+C57_vs_Pdl1_cre,Mycl,2.283317,1.3146237223459824e-09,2.555730622937471e-09
124,Pdl1_wt+C57_vs_Pdl1_cre,Cmah,2.5852356,2.592554788616825e-09,5.032310690894078e-09
125,Pdl1_wt+C57_vs_Pdl1_cre,Slc6a19,4.027695,3.752702476236028e-09,7.270134905587291e-09
126,Pdl1_wt+C57_vs_Pdl1_cre,Lipe,1.2719972,4.038706334109517e-09,7.81816083084e-09
127,Pdl1_wt+C57_vs_Pdl1_cre,Acer1,0.85732305,4.277738553385029e-09,8.277680401331834e-09
128,Pdl1_wt+C57_vs_Pdl1_cre,Epha2,1.5181113,4.420991442169416e-09,8.544974192857181e-09
129,Pdl1_wt+C57_vs_Pdl1_cre,Sfrp1,1.7459754,7.189368626501516e-09,1.3863628406882353e-08
130,Pdl1_wt+C57_vs_Pdl1_cre,Col1a2,0.39184603,8.860535319090195e-09,1.7059938387448274e-08
131,Pdl1_wt+C57_vs_Pdl1_cre,Cgn,1.0376886,1.191794895263494e-08,2.291138727223138e-08
132,Pdl1_wt+C57_vs_Pdl1_cre,Efna3,1.2228366,1.4194130722085348e-08,2.7276705717757874e-08
133,Pdl1_wt+C57_vs_Pdl1_cre,Cdh6,3.4464378,4.216512598409003e-08,8.059512053316329e-08
134,Pdl1_wt+C57_vs_Pdl1_cre,Fermt1,1.1953284,8.542296348239095e-08,1.6296774207044553e-07
135,Pdl1_wt+C57_vs_Pdl1_cre,Bmp2,1.387256,2.8963788834272976e-07,5.494229894064817e-07
136,Pdl1_wt+C57_vs_Pdl1_cre,Jag2,0.8402558,6.434651141526849e-07,1.2160008914489773e-06
137,Pdl1_wt+C57_vs_Pdl1_cre,Lama3,0.59022856,1.2271950410891746e-06,2.3103942744236208e-06
138,Pdl1_wt+C57_vs_Pdl1_cre,Dpp4,1.3395258,1.3607983046683545e-06,2.56096101998864e-06
139,Pdl1_wt+C57_vs_Pdl1_cre,Tgfa,2.1405246,1.7744044795727213e-06,3.3305844862171142e-06
140,Pdl1_wt+C57_vs_Pdl1_cre,Large2,1.2689499,2.172126183004222e-06,4.069484907230215e-06
141,Pdl1_wt+C57_vs_Pdl1_cre,Pnpla3,1.0528303,2.252001866383317e-06,4.217553813361349e-06
142,Pdl1_wt+C57_vs_Pdl1_cre,Klk6,1.3548572,3.1102724607260145e-06,5.818394595812566e-06
143,Pdl1_wt+C57_vs_Pdl1_cre,Pygl,0.9657471,4.081691525089468e-06,7.624234244252939e-06
144,Pdl1_wt+C57_vs_Pdl1_cre,Mycn,2.5225544,5.866154984139005e-06,1.0916718160074296e-05
145,Pdl1_wt+C57_vs_Pdl1_cre,Col1a1,0.4212198,9.138921885776857e-06,1.6956798725055207e-05
146,Pdl1_wt+C57_vs_Pdl1_cre,Tubb2b,1.4274912,1.0063642452071924e-05,1.8658738561137798e-05
147,Pdl1_wt+C57_vs_Pdl1_cre,Plk2,1.1177313,1.1940468311192904e-05,2.212212596810943e-05
148,Pdl1_wt+C57_vs_Pdl1_cre,Bnc1,1.7282165,1.2165633386407382e-05,2.251429232249736e-05
149,Pdl1_wt+C57_vs_Pdl1_cre,Esrrb,1.7389266,1.2981470743665772e-05,2.401524114663372e-05
150,Pdl1_wt+C57_vs_Pdl1_cre,C1qtnf12,1.0900882,1.529947001589153e-05,2.8261677822713284e-05
151,Pdl1_wt+C57_vs_Pdl1_cre,Glra1,1.4937642,1.5669904225715735e-05,2.8903294235052678e-05
152,Pdl1_wt+C57_vs_Pdl1_cre,F2rl1,1.0258241,1.8058499399477615e-05,3.321118589044267e-05
153,Pdl1_wt+C57_vs_Pdl1_cre,Lamb1,0.9563494,1.9872905677446998e-05,3.649441152652226e-05
154,Pdl1_wt+C57_vs_Pdl1_cre,Arhgef28,0.85912526,2.098984543414494e-05,3.851728967863987e-05
155,Pdl1_wt+C57_vs_Pdl1_cre,Efna1,0.98355466,2.5895922521718337e-05,4.743321922565752e-05
156,Pdl1_wt+C57_vs_Pdl1_cre,Zfp503,1.16721,2.6064438001275667e-05,4.7724424518795163e-05
157,Pdl1_wt+C57_vs_Pdl1_cre,Ret,1.5417435,2.8789411486227313e-05,5.269462299819156e-05
158,Pdl1_wt+C57_vs_Pdl1_cre,Fgfbp3,1.3171881,3.024701861698772e-05,5.532209543172835e-05
159,Pdl1_wt+C57_vs_Pdl1_cre,Krt79,0.9315729,3.135266426849562e-05,5.7302459776593305e-05
160,Pdl1_wt+C57_vs_Pdl1_cre,Pnpla1,2.6211548,5.146563531559535e-05,9.34822098657004e-05
161,Pdl1_wt+C57_vs_Pdl1_cre,Spink12,5.097232,6.238389654055537e-05,0.00011307445099076342
162,Pdl1_wt+C57_vs_Pdl1_cre,Eya2,2.0054202,7.296126971788193e-05,0.00013204776435564604
163,Pdl1_wt+C57_vs_Pdl1_cre,Map2,0.73651683,9.564627661398662e-05,0.00017241817095052828
164,Pdl1_wt+C57_vs_Pdl1_cre,Palmd,1.1089171,0.00010374116767530659,0.00018680873574913122
165,Pdl1_wt+C57_vs_Pdl1_cre,Pthlh,3.7614844,0.00010643441295764984,0.0001915207301459364
166,Pdl1_wt+C57_vs_Pdl1_cre,Pou4f3,1.8717265,0.00011330581327508808,0.0002037388294738114
167,Pdl1_wt+C57_vs_Pdl1_cre,Far2,0.6852147,0.00012693931656041876,0.00022800797226460578
168,Pdl1_wt+C57_vs_Pdl1_cre,Fut1,1.6061366,0.00018175416965762593,0.000325744924579309
169,Pdl1_wt+C57_vs_Pdl1_cre,Dach1,2.5841587,0.00019976724332844314,0.00035728289392718336
170,Pdl1_wt+C57_vs_Pdl1_cre,Krt82,5.5608773,0.0002117853407753678,0.00037850675327436316
171,Pdl1_wt+C57_vs_Pdl1_cre,Dsg2,1.4429511,0.0002170212637035871,0.00038772606927200466
172,Pdl1_wt+C57_vs_Pdl1_cre,Il1r1,0.91119295,0.00021889491451969426,0.00039079455851839855
173,Pdl1_wt+C57_vs_Pdl1_cre,Limk2,1.0572091,0.00022736164675915766,0.00040547645303752876
174,Pdl1_wt+C57_vs_Pdl1_cre,Sostdc1,0.96648055,0.00023014312001591426,0.0004101446987538864
175,Pdl1_wt+C57_vs_Pdl1_cre,Cyp1b1,1.431827,0.00030245952174030286,0.0005373003427366771
176,Pdl1_wt+C57_vs_Pdl1_cre,Itga3,1.0564587,0.0003729929018679299,0.000661424890807955
177,Pdl1_wt+C57_vs_Pdl1_cre,Mtus1,1.012492,0.000384062871975874,0.0006808140003934934
178,Pdl1_wt+C57_vs_Pdl1_cre,Fgf22,3.3301783,0.0004021529946458023,0.0007116217360186944
179,Pdl1_wt+C57_vs_Pdl1_cre,Ephb1,3.9329393,0.0004431178393367066,0.000783556306506377
180,Pdl1_wt+C57_vs_Pdl1_cre,Edn1,1.5889484,0.0005309698208416186,0.0009372478572401773
181,Pdl1_wt+C57_vs_Pdl1_cre,Smoc2,0.7123473,0.0005834289301053788,0.0010280342217907517
182,Pdl1_wt+C57_vs_Pdl1_cre,Il1rn,1.1825911,0.0006144114577229628,0.0010814851467514598
183,Pdl1_wt+C57_vs_Pdl1_cre,Kcnh1,2.3134546,0.0006444190830045708,0.0011327113516576128
184,Pdl1_wt+C57_vs_Pdl1_cre,Scnn1b,1.9642767,0.0006456597973106099,0.0011344938383070948
185,Pdl1_wt+C57_vs_Pdl1_cre,Pcsk6,1.0225681,0.0006787393795679248,0.001192199766356853
186,Pdl1_wt+C57_vs_Pdl1_cre,Grb7,2.036141,0.0007492807960573694,0.0013142605693984553
187,Pdl1_wt+C57_vs_Pdl1_cre,Fzd6,1.233831,0.0007539535641025002,0.0013219935348151017
188,Pdl1_wt+C57_vs_Pdl1_cre,Mmp12,1.0372242,0.0007895174906548518,0.0013838671422332592
189,Pdl1_wt+C57_vs_Pdl1_cre,Itgb6,1.7237576,0.0009422879039403762,0.0016493333031907425
190,Pdl1_wt+C57_vs_Pdl1_cre,Moxd1,0.57273066,0.0010325574885591956,0.0018041824739013378
191,Pdl1_wt+C57_vs_Pdl1_cre,Kcnk2,1.3562105,0.0010682318258374915,0.0018658648011662534
192,Pdl1_wt+C57_vs_Pdl1_cre,Ereg,1.0597798,0.0010768424175948833,0.0018802487417090988
193,Pdl1_wt+C57_vs_Pdl1_cre,Egr1,1.0645903,0.0012498533505177145,0.0021762663905014537
194,Pdl1_wt+C57_vs_Pdl1_cre,Slc39a8,3.0808835,0.0014090091634537598,0.002451685739398513
195,Pdl1_wt+C57_vs_Pdl1_cre,Fmod,1.8107853,0.0016175961909057897,0.002808770909356359
196,Pdl1_wt+C57_vs_Pdl1_cre,Tfap2b,0.59245735,0.0016681246952348935,0.002894499904452644
197,Pdl1_wt+C57_vs_Pdl1_cre,Cdcp1,1.4660734,0.0017717337701477311,0.003068961679363163
198,Pdl1_wt+C57_vs_Pdl1_cre,Hoxb8,1.2880542,0.0018955826997840955,0.003281219569543286
199,Pdl1_wt+C57_vs_Pdl1_cre,Nt5e,0.99646807,0.002037641331820109,0.003522248793885174
200,Pdl1_wt+C57_vs_Pdl1_cre,Fbxo32,1.4550934,0.0023868702895314406,0.0041188116750756265
201,Pdl1_wt+C57_vs_Pdl1_cre,Ocln,1.6874611,0.002406149383091703,0.004150649142576522
202,Pdl1_wt+C57_vs_Pdl1_cre,Sdr16c5,0.6103931,0.0025160832601819404,0.004337297796305369
203,Pdl1_wt+C57_vs_Pdl1_cre,Nkd2,1.562925,0.0027179280728454594,0.004683630957887907
204,Pdl1_wt+C57_vs_Pdl1_cre,Trhr,1.4020227,0.0028003289678904687,0.004820648835371281
205,Pdl1_wt+C57_vs_Pdl1_cre,Lef1,1.9605463,0.0029187322540152887,0.005021021877525957
206,Pdl1_wt+C57_vs_Pdl1_cre,Ptch2,2.2874966,0.0031840357026897605,0.005475535117713824
207,Pdl1_wt+C57_vs_Pdl1_cre,Wnt10a,0.83278865,0.0034770577380340063,0.00596714125354756
208,Pdl1_wt+C57_vs_Pdl1_cre,Tmprss2,3.114183,0.0035968216173942577,0.006164220820498341
209,Pdl1_wt+C57_vs_Pdl1_cre,Alox12e,0.56445396,0.003844315292004069,0.006586119901359469
210,Pdl1_wt+C57_vs_Pdl1_cre,Prickle3,1.0628356,0.004052912034135963,0.006938740643941391
211,Pdl1_wt+C57_vs_Pdl1_cre,Msx1,2.6182404,0.004134817306651642,0.007074126943642557
212,Pdl1_wt+C57_vs_Pdl1_cre,Il1f10,2.9749403,0.004507322966374006,0.007703536623307708
213,Pdl1_wt+C57_vs_Pdl1_cre,Cntn2,2.071702,0.004557737120017451,0.007787041646009338
214,Pdl1_wt+C57_vs_Pdl1_cre,Sh3rf2,1.104884,0.004676969764915858,0.007988028196236363
215,Pdl1_wt+C57_vs_Pdl1_cre,Lvrn,0.88096195,0.004695142035948886,0.008013597351503622
216,Pdl1_wt+C57_vs_Pdl1_cre,Tagln,0.9249974,0.00484319172665539,0.008260653418615631
217,Pdl1_wt+C57_vs_Pdl1_cre,Il33,0.8414315,0.005056809117774315,0.008616196883450722
218,Pdl1_wt+C57_vs_Pdl1_cre,Ptprk,1.1153486,0.005202896281933658,0.00886209553840078
219,Pdl1_wt+C57_vs_Pdl1_cre,Rab27b,1.255408,0.005365154632373046,0.009135361935258322
220,Pdl1_wt+C57_vs_Pdl1_cre,Fosl1,1.1536071,0.005469065556490764,0.009302800603395434
221,Pdl1_wt+C57_vs_Pdl1_cre,Efnb2,0.94287556,0.00549008891536428,0.009335388964101082
222,Pdl1_wt+C57_vs_Pdl1_cre,Ntn4,2.0109503,0.005685948244897006,0.009664829836183048
223,Pdl1_wt+C57_vs_Pdl1_cre,Tenm1,2.06843,0.005687692508468889,0.009664829836183048
224,Pdl1_wt+C57_vs_Pdl1_cre,Dll1,0.7819432,0.005732144507948132,0.009737059859785664
225,Pdl1_wt+C57_vs_Pdl1_cre,Gstk1,1.326206,0.006714950301459666,0.011379499393739705
226,Pdl1_wt+C57_vs_Pdl1_cre,Fgf5,4.8307724,0.007433199994586203,0.012575396814092102
227,Pdl1_wt+C57_vs_Pdl1_cre,Cidea,0.67718863,0.008282775446529016,0.013984341951205483
228,Pdl1_wt+C57_vs_Pdl1_cre,Gdf10,1.3545331,0.010735798987872365,0.018019169216822208
229,Pdl1_wt+C57_vs_Pdl1_cre,Krt78,0.43350816,0.011433096332438244,0.019173896227867956
230,Pdl1_wt+C57_vs_Pdl1_cre,Onecut3,1.3998513,0.012062606649877993,0.020189036739983027
231,Pdl1_wt+C57_vs_Pdl1_cre,Fam107b,1.0953933,0.013039956512135971,0.021795666878047636
232,Pdl1_wt+C57_vs_Pdl1_cre,Slc22a18,1.6360333,0.013373481564098136,0.02233822112441617
233,Pdl1_wt+C57_vs_Pdl1_cre,Wnt4,1.0528495,0.014523985968007747,0.024195365642544684
234,Pdl1_wt+C57_vs_Pdl1_cre,Slit3,0.7365596,0.014709191424459441,0.024495745931751155
235,Pdl1_wt+C57_vs_Pdl1_cre,Gli2,1.4402943,0.022357712366129264,0.03698701523623368
236,Pdl1_wt+C57_vs_Pdl1_cre,Ror2,1.3548901,0.02279161300242443,0.037679925591194416
