gene,output-XETG00045__0059976__cre_24h__20250725__091031_0,output-XETG00045__0059976__cre_24h__20250725__091031_1,output-XETG00045__0059976__cre_24h__20250725__091031_2,output-XETG00045__0059976__cre_72h__20250725__091031_0,output-XETG00045__0059976__cre_72h__20250725__091031_1,output-XETG00045__0059976__cre_72h__20250725__091031_2,output-XETG00045__0059976__litt_24h__20250725__091031_0,output-XETG00045__0059976__litt_24h__20250725__091031_1,output-XETG00045__0059976__litt_24h__20250725__091031_2,output-XETG00045__0059976__litt_72h__20250725__091031_0,output-XETG00045__0059976__litt_72h__20250725__091031_1,output-XETG00045__0059976__litt_72h__20250725__091031_2,output-XETG00045__0059976__wt_24h__20250725__091031_0,output-XETG00045__0059976__wt_24h__20250725__091031_1,output-XETG00045__0059976__wt_72h__20250725__091031_0,output-XETG00045__0059976__wt_72h__20250725__091031_1,output-XETG00045__0059976__wt_72h__20250725__091031_2
A1cf,4.927405992385465,3.579412168442085,5.476101914508046,1.218231626149275,1.6262231604032418,3.7544066967677643,1.9126722844101085,1.7447104725322609,2.671980921412431,0.0,2.7884686936177188,2.392655586941037,3.297540861059242,2.505283140302315,2.5292102374144503,1.293925777635636,0.0
A2m,5.645281508660501,4.517769819924129,6.309621161241122,3.1634474576797005,3.515408321665296,3.7544066967677643,5.665934281416127,2.5116076565954986,1.8822588972412224,4.889441647705089,5.18799587575272,4.2530612429221675,4.222245250110012,3.6660769993940683,3.7789250896829554,3.4807310788795545,2.9443327429907074
Aatf,9.415291713593795,9.66460772696772,9.112685448452108,9.445991773200443,9.358277298184817,9.318024346374402,9.321315981693642,9.354590354916349,9.5257282902568,8.930349592034768,9.237721412750696,9.172531929210574,9.656344040516244,9.407805435882292,9.164169574775404,9.366720827259869,9.296599660695497
Abca1,10.115715981469029,10.235932192610745,10.955009306737763,10.881204157696144,11.409608536797068,11.292090153057906,10.805738113521167,10.441496000367211,10.68400268420733,12.41761912420673,11.835928872307235,11.133599892805494,10.223494431422303,10.268600011242318,11.856921877433686,11.247662642453873,10.896598737255987
Abca13,3.9740544536236464,2.695317093424611,4.201990330427973,0.0,0.0,1.8069840291659731,4.136712369947262,2.5116076565954986,1.8822588972412224,5.864896530188808,1.9834881152819233,1.0446093239053915,2.437278519530772,0.0,0.0,0.0,0.0
Abca3,6.480409900678659,6.858182267145821,6.595817040241622,6.812954345657934,6.719072403376209,6.8574661956995495,5.950265134504017,6.062547568756917,7.163754995308134,7.433260508309378,6.896988813927123,6.945126391278686,5.348576468312508,6.526903692938037,6.683900294274197,6.681393743771825,6.905389486006471
Abca4,3.434279195262149,2.695317093424611,4.760583991820965,4.189506475776599,1.6262231604032418,4.953693787416977,3.592185998577413,3.6731470293876427,4.097535750341348,4.889441647705089,4.786090435830523,3.9890760979097557,4.040600288929604,3.002956546662908,3.937124739588756,4.203461386570352,4.279269620681811
Abca7,6.830530051273241,6.279424052182964,7.339779283940361,7.575204486404248,6.503708513193999,6.546380737888086,6.728903103208925,7.650035368699168,7.622899844979878,8.166883357938433,6.82362521065064,7.052982625266743,6.480972928402595,6.6327009504855825,6.749361048667839,6.992304948711684,7.276454590041115
Abca8a,4.927405992385465,4.517769819924129,5.1622541076126724,4.290762794857476,6.906423520248733,5.523053969919162,4.347340344363779,3.009674618921448,6.7963284183728625,0.0,6.168070903610778,7.513649548286281,3.589820593966565,5.94974265402493,6.212942616760189,4.414623341500837,5.421474678416198
Abca8b,5.143009490008807,4.517769819924129,4.201990330427973,3.362651550695118,4.145376055625301,4.39182287773125,2.7071088445636353,3.6731470293876427,4.097535750341348,0.0,4.786090435830523,5.5778378018807855,2.437278519530772,4.118660939985877,4.079678451318088,2.76718320492718,4.149176982318332
