sample_id,condition,genotype,timepoint,n_cells,wound_healing__whole,wound_healing__comp,wound_healing__comp_name,wound_healing__comp_n,vascular_repair__whole,vascular_repair__comp,vascular_repair__comp_name,vascular_repair__comp_n,immunity_recruitment__whole,immunity_recruitment__comp,immunity_recruitment__comp_name,immunity_recruitment__comp_n,inflammation_resolution__whole,inflammation_resolution__comp,inflammation_resolution__comp_name,inflammation_resolution__comp_n,fibrosis_matrix__whole,fibrosis_matrix__comp,fibrosis_matrix__comp_name,fibrosis_matrix__comp_n,neuroimmune__whole,neuroimmune__comp,neuroimmune__comp_name,neuroimmune__comp_n,pain_sensory__whole,pain_sensory__comp,pain_sensory__comp_name,pain_sensory__comp_n,neuropeptides__whole,neuropeptides__comp,neuropeptides__comp_name,neuropeptides__comp_n,neurogenic_inflammation__whole,neurogenic_inflammation__comp,neurogenic_inflammation__comp_name,neurogenic_inflammation__comp_n
output-XETG00045__0059976__cre_24h__20250725__091031_0,cre_24h,cre,24h,2610,0.027058082627857364,0.04686764309245875,Keratinocyte,893,-0.005108536572292485,0.025090097127134506,Endothelial,176,0.0017661736430329238,0.03788264882228038,Immune,624,0.0004687844330701376,0.012986577977944913,Immune,624,0.001748294337107884,0.1377667043891057,Fibroblast,202,-0.002352739374684157,-0.001808946110168202,Immune,624,-0.001433368038455742,-0.001433368038455742,all,2610,0.00010156290162052354,0.00010156290162052354,all,2610,-0.005474145292041905,0.013022800729177497,Immune,624
output-XETG00045__0059976__cre_24h__20250725__091031_1,cre_24h,cre,24h,2173,0.031450786787156536,0.046776023781048455,Keratinocyte,1102,-0.007819474203699014,0.016210460275394727,Endothelial,168,-0.005450185178451249,0.012894418919922653,Immune,292,-0.0033456416877814137,0.005789136475328504,Immune,292,0.028603457396631782,0.17667688218109412,Fibroblast,416,-0.0009908602694715415,-0.0026773247571132944,Immune,292,-0.0017943823221311368,-0.0017943823221311368,all,2173,-0.00021106648930160814,-0.00021106648930160814,all,2173,-0.00479143404633197,0.004764623696079613,Immune,292
output-XETG00045__0059976__cre_24h__20250725__091031_2,cre_24h,cre,24h,2908,0.022303095229587077,0.056657785683117974,Keratinocyte,643,-0.005278685408722096,0.026674307511371058,Endothelial,244,0.041889619139300754,0.07604774519465202,Immune,1439,0.027541467448955685,0.04675406224378717,Immune,1439,0.00418606838764544,0.1164233949696823,Fibroblast,307,0.001338784520268928,-0.0007421637917448324,Immune,1439,-0.00135916260180195,-0.00135916260180195,all,2908,-0.00046043856068893395,-0.00046043856068893395,all,2908,0.014084469510464387,0.028158761887579636,Immune,1439
output-XETG00045__0059976__cre_72h__20250725__091031_0,cre_72h,cre,72h,8550,0.023523695515725043,0.03157822035234631,Keratinocyte,3844,-0.0066566014980030536,0.0215683838896044,Endothelial,1196,-0.009575371882515858,0.011774571268495206,Immune,1326,-0.0047374944268236165,0.008212623389923209,Immune,1326,0.05171579331389556,0.2014969943650901,Fibroblast,1753,-0.0047950501465952805,-0.002163235686671309,Immune,1326,-0.0013756826960672215,-0.0013756826960672215,all,8550,-0.0010294489187070435,-0.0010294489187070435,all,8550,-0.013649974319143785,-0.00743530513043289,Immune,1326
output-XETG00045__0059976__cre_72h__20250725__091031_1,cre_72h,cre,72h,4456,0.023912875645043206,0.04812517573836137,Keratinocyte,1600,-0.005139415605355272,0.03437388469648454,Endothelial,486,-0.008842254199001313,0.008629456837326898,Immune,961,-0.005531858819451452,0.0009742047782446262,Immune,961,0.045187278792813576,0.20195687921953756,Fibroblast,854,-0.0022662595253287016,-0.001954620118438643,Immune,961,-0.0022158002830505274,-0.0022158002830505274,all,4456,-0.0004984440443547626,-0.0004984440443547626,all,4456,-0.01593496154814008,-0.012249856296693642,Immune,961
output-XETG00045__0059976__cre_72h__20250725__091031_2,cre_72h,cre,72h,4116,0.013597081599905806,0.02098315987730877,Keratinocyte,1944,-0.00834390244441745,0.010919856537476194,Endothelial,395,-0.014598722861686252,-0.00603860064340356,Immune,580,-0.009741710196830383,-0.0034911614398031544,Immune,580,0.04279045677358143,0.20337036860659854,Fibroblast,817,-0.005976790957515851,-0.0015693679281289829,Immune,580,-0.002711356923672639,-0.002711356923672639,all,4116,-0.000982804882522963,-0.000982804882522963,all,4116,-0.01651313248383036,-0.0134983870937992,Immune,580
output-XETG00045__0059976__litt_24h__20250725__091031_0,litt_24h,litt,24h,4727,0.017761074125462264,0.049084315981888824,Keratinocyte,1200,-0.006044520878335103,0.025153641670103106,Endothelial,428,0.02597663562981555,0.05431686531229576,Immune,2187,0.028072075966533997,0.05736835226707903,Immune,2187,0.011530856599515976,0.15930863333564343,Fibroblast,639,-0.0011841756633288972,-0.0028060961739905573,Immune,2187,-0.002312804885441992,-0.002312804885441992,all,4727,-0.0005013168368698315,-0.0005013168368698315,all,4727,0.0021314625415931716,0.011624753194834898,Immune,2187
output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,24h,4105,0.019355863011200625,0.04153386684541651,Keratinocyte,1212,-0.005732585895909916,0.027436340258338854,Endothelial,411,0.009860302151266966,0.05142899991165041,Immune,1310,0.012432584946567514,0.046582941922391916,Immune,1310,0.022026000331987858,0.18692549953317833,Fibroblast,569,-0.0020460012258906204,-0.0002271836565740728,Immune,1310,-0.001207304562705581,-0.001207304562705581,all,4105,-0.0007798237310300833,-0.0007798237310300833,all,4105,-0.005524309525427385,0.004532135186951139,Immune,1310
output-XETG00045__0059976__litt_24h__20250725__091031_2,litt_24h,litt,24h,4619,0.013668622454187472,0.02745376443296371,Keratinocyte,1689,-0.00816656343917319,0.02565386818636432,Endothelial,414,-0.0002350565096053169,0.027598188486659098,Immune,1231,-0.003492464410291055,0.007529000112537512,Immune,1231,0.02250216375722884,0.17281925567578388,Fibroblast,776,-0.004388935270631678,-0.0045932241691949175,Immune,1231,-0.002081784074566726,-0.002081784074566726,all,4619,-0.0007928919427466652,-0.0007928919427466652,all,4619,-0.008857708577419748,0.0021270362308825996,Immune,1231
output-XETG00045__0059976__litt_72h__20250725__091031_0,litt_72h,litt,72h,506,0.013661865699142321,0.0695902942334317,Keratinocyte,65,-0.0006548244618822218,0.023443975119433306,Endothelial,70,0.028160716265317486,0.03922604653002228,Immune,324,0.06414407289202378,0.08490086879259442,Immune,324,0.01651279901228795,0.13768051119005206,Fibroblast,13,-0.0003268000944813252,-0.0002981516625505582,Immune,324,-0.00036909578481624634,-0.00036909578481624634,all,506,0.00013082214921843178,0.00013082214921843178,all,506,5.3882684214297914e-05,0.0020027139699803466,Immune,324
