condition,theme,resolution,n_samples,mean,sem
cre_24h,wound_healing,whole,3,0.02693732154820033,0.0026414013097140207
cre_24h,vascular_repair,whole,3,-0.0060688987282378655,0.0008766648025517143
cre_24h,immunity_recruitment,whole,3,0.012735202534627477,0.01472530661060792
cre_24h,inflammation_resolution,whole,3,0.008221536731414803,0.009722521172614188
cre_24h,fibrosis_matrix,whole,3,0.01151260670712837,0.00857435261984917
cre_24h,neuroimmune,whole,3,-0.0006682717079622569,0.0010777885849839123
cre_24h,pain_sensory,whole,3,-0.001528970987462943,0.0001344234529822444
cre_24h,neuropeptides,whole,3,-0.00018998071612333952,0.00016257805128859
cre_24h,neurogenic_inflammation,whole,3,0.0012729633906968373,0.0064087840878460384
cre_72h,wound_healing,whole,3,0.020344550920224688,0.0033756047342042984
cre_72h,vascular_repair,whole,3,-0.006713306515925259,0.0009254900629259155
cre_72h,immunity_recruitment,whole,3,-0.011005449647734472,0.0018090581966913
cre_72h,inflammation_resolution,whole,3,-0.00667035448103515,0.0015527044306391973
cre_72h,fibrosis_matrix,whole,3,0.04656450962676353,0.0026669571716942063
cre_72h,neuroimmune,whole,3,-0.004346033543146611,0.001094413512639173
cre_72h,pain_sensory,whole,3,-0.0021009466342634627,0.0003898289928725625
cre_72h,neuropeptides,whole,3,-0.0008368992818615896,0.0001697624589190609
cre_72h,neurogenic_inflammation,whole,3,-0.015366022783704742,0.0008741066215019685
litt_24h,wound_healing,whole,3,0.01692851986361679,0.0016937174338833914
litt_24h,vascular_repair,whole,3,-0.0066478900711394034,0.0007646573213748467
litt_24h,immunity_recruitment,whole,3,0.011867293757159067,0.007632915840457814
litt_24h,inflammation_resolution,whole,3,0.012337398834270152,0.009112022234334802
litt_24h,fibrosis_matrix,whole,3,0.018686340229577558,0.003580381375726324
litt_24h,neuroimmune,whole,3,-0.002539704053283732,0.0009575015920755837
litt_24h,pain_sensory,whole,3,-0.0018672978409047664,0.00033666798640770055
litt_24h,neuropeptides,whole,3,-0.0006913441702155266,9.50885291070455e-05
litt_24h,neurogenic_inflammation,whole,3,-0.004083518520417987,0.0032530692948262423
litt_72h,wound_healing,whole,3,0.018428859803983916,0.003527273363139141
litt_72h,vascular_repair,whole,3,-0.0018753606457888943,0.0013336408206200583
litt_72h,immunity_recruitment,whole,3,0.003911162481293427,0.012233868472475002
litt_72h,inflammation_resolution,whole,3,0.01732899830919998,0.023413260085983423
litt_72h,fibrosis_matrix,whole,3,0.045794403546591256,0.01586976889435844
litt_72h,neuroimmune,whole,3,-0.001411678255314263,0.0005640884282437554
litt_72h,pain_sensory,whole,3,-0.0011622057756043443,0.00046028607011180006
litt_72h,neuropeptides,whole,3,-0.0004357896315825567,0.00029100941165882547
litt_72h,neurogenic_inflammation,whole,3,-0.010299156566073222,0.005181074042975242
wt_24h,wound_healing,whole,2,0.02895162899210555,0.007162265549681898
wt_24h,vascular_repair,whole,2,-0.007710052874939887,0.000944138650531394
wt_24h,immunity_recruitment,whole,2,-0.006339577127474898,0.0017836280660325913
wt_24h,inflammation_resolution,whole,2,-0.0022666934991403816,0.001698272370462352
wt_24h,fibrosis_matrix,whole,2,0.024639888724956212,0.012027188423720038
wt_24h,neuroimmune,whole,2,-0.0001470665611880889,0.0006627086921533519
wt_24h,pain_sensory,whole,2,-0.0009501217935314999,0.00020502480448629282
wt_24h,neuropeptides,whole,2,-0.0007949730809174455,4.014989091602971e-05
wt_24h,neurogenic_inflammation,whole,2,-0.010775809659799636,0.0009360779269592745
wt_72h,wound_healing,whole,3,0.026113183153776143,0.0027647593989501566
wt_72h,vascular_repair,whole,3,-0.004245010118809363,0.0006067214448966958
wt_72h,immunity_recruitment,whole,3,-0.004683936906689354,0.001484495908554628
wt_72h,inflammation_resolution,whole,3,-0.0017100185829854607,0.001807669274879893
wt_72h,fibrosis_matrix,whole,3,0.06585101969266582,0.0017282690939564652
wt_72h,neuroimmune,whole,3,-0.0022614379947716325,0.0006787900670290444
wt_72h,pain_sensory,whole,3,-0.001151186197244131,0.00033707492215981724
wt_72h,neuropeptides,whole,3,-0.0004077248790656603,5.1909029833971896e-05
wt_72h,neurogenic_inflammation,whole,3,-0.013824585885606713,0.0009707260795641862
cre_24h,wound_healing,comp,3,0.05010048418554172,0.0032787574232800757
cre_24h,vascular_repair,comp,3,0.022658288304633428,0.0032561887412719146
cre_24h,immunity_recruitment,comp,3,0.04227493764561835,0.01836259609206825
cre_24h,inflammation_resolution,comp,3,0.021843258899020196,0.012627508113996423
cre_24h,fibrosis_matrix,comp,3,0.1436223271799607,0.017638375954959942
cre_24h,neuroimmune,comp,3,-0.0017428115530087763,0.0005596106757408685
cre_24h,pain_sensory,comp,3,-0.001528970987462943,0.0001344234529822444
cre_24h,neuropeptides,comp,3,-0.00018998071612333952,0.00016257805128859
cre_24h,neurogenic_inflammation,comp,3,0.015315395437612248,0.0068499006879323265
cre_72h,wound_healing,comp,3,0.03356218532267215,0.007897770655972434
cre_72h,vascular_repair,comp,3,0.022287375041188374,0.006780132015133902
cre_72h,immunity_recruitment,comp,3,0.004788475820806181,0.005489144583256095
cre_72h,inflammation_resolution,comp,3,0.00189855557612156,0.0034100568486602994
cre_72h,fibrosis_matrix,comp,3,0.2022747473970754,0.0005636674243751805
cre_72h,neuroimmune,comp,3,-0.0018957412444129782,0.00017394421520889895
cre_72h,pain_sensory,comp,3,-0.0021009466342634627,0.0003898289928725625
cre_72h,neuropeptides,comp,3,-0.0008368992818615896,0.0001697624589190609
cre_72h,neurogenic_inflammation,comp,3,-0.011061182840308577,0.001848418167250066
litt_24h,wound_healing,comp,3,0.039357315753423015,0.0063383284092290515
litt_24h,vascular_repair,comp,3,0.026081283371602093,0.0006927459891889787
litt_24h,immunity_recruitment,comp,3,0.044448017903535086,0.00846605979143438
litt_24h,inflammation_resolution,comp,3,0.03716009810066948,0.01513916273623402
litt_24h,fibrosis_matrix,comp,3,0.1730177961815352,0.00797292059395331
litt_24h,neuroimmune,comp,3,-0.0025421679999198493,0.0012672570115887895
litt_24h,pain_sensory,comp,3,-0.0018672978409047664,0.00033666798640770055
litt_24h,neuropeptides,comp,3,-0.0006913441702155266,9.50885291070455e-05
litt_24h,neurogenic_inflammation,comp,3,0.006094641537556213,0.002850890296825286
litt_72h,wound_healing,comp,3,0.04464867242209782,0.014727852073975537
litt_72h,vascular_repair,comp,3,0.030716333880169422,0.006193065281595222
litt_72h,immunity_recruitment,comp,3,0.019186184801540412,0.010020796233454221
litt_72h,inflammation_resolution,comp,3,0.028150272893516515,0.028401201405160056
litt_72h,fibrosis_matrix,comp,3,0.17324876079694315,0.018395661293848096
litt_72h,neuroimmune,comp,3,-0.00042787659506142314,0.00045280204212476123
litt_72h,pain_sensory,comp,3,-0.0011622057756043443,0.00046028607011180006
litt_72h,neuropeptides,comp,3,-0.0004357896315825567,0.00029100941165882547
litt_72h,neurogenic_inflammation,comp,3,-0.007385666767040891,0.004754678622235351
wt_24h,wound_healing,comp,2,0.04728446882189503,0.007779381886595229
wt_24h,vascular_repair,comp,2,0.02679074862849435,0.0005474505386696155
wt_24h,immunity_recruitment,comp,2,0.021275262747989458,0.00878787340266761
wt_24h,inflammation_resolution,comp,2,0.008750400256505319,0.00407129591538884
wt_24h,fibrosis_matrix,comp,2,0.16112660044009286,0.027179337228527178
wt_24h,neuroimmune,comp,2,-0.0032054745086676035,0.0014759021608166793
wt_24h,pain_sensory,comp,2,-0.0009501217935314999,0.00020502480448629282
wt_24h,neuropeptides,comp,2,-0.0007949730809174455,4.014989091602971e-05
wt_24h,neurogenic_inflammation,comp,2,-0.001224714617871885,0.0015436435663383978
wt_72h,wound_healing,comp,3,0.03534049485760995,0.0029393264505026264
wt_72h,vascular_repair,comp,3,0.0379882751667129,0.0019555124283393817
wt_72h,immunity_recruitment,comp,3,0.017456921861228457,0.0037210514127992544
wt_72h,inflammation_resolution,comp,3,0.010446631253982151,0.005165323408273149
wt_72h,fibrosis_matrix,comp,3,0.20776096451930282,0.004375083579599435
wt_72h,neuroimmune,comp,3,-0.00046877603809807045,0.0008606649393207087
wt_72h,pain_sensory,comp,3,-0.001151186197244131,0.00033707492215981724
wt_72h,neuropeptides,comp,3,-0.0004077248790656603,5.1909029833971896e-05
wt_72h,neurogenic_inflammation,comp,3,-0.009766265482720004,0.0019378552617320384
